"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","振甫町","池下",15,32000000,90,"","",75,"2023年","木造","","","","","","２中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","振甫町","池下",15,33000000,90,"","",75,"2023年","木造","","","","","","２中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","振甫町","池下",15,47000000,115,"","",160,"2004年","木造","","","北","公道",5.4,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","若水","池下",10,42000000,60,"","",110,"2023年","木造","","","東","公道",7.9,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","御棚町","覚王山",10,25000000,160,"","",155,"1991年","木造","","","北","公道",2.7,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","香流橋","茶屋ケ坂","",37000000,205,"","",100,"","木造","","","南","公道",2.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","香流橋","茶屋ケ坂","",33000000,170,"","",95,"","木造","","","南","公道",2.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","新西","茶屋ケ坂","",27000000,115,"","",115,"2008年","木造","","","北","公道",8,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","日岡町","覚王山",15,50000000,85,"","",105,"2019年","木造","","","南東","公道",30.4,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","赤坂町","茶屋ケ坂",10,50000000,100,"","",100,"2019年","木造","","","北東","私道",4.5,"１低住専",50,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","池上町","本山(愛知)",15,45000000,110,"","",80,"2020年","木造","","","北西","公道",5.4,"１低住専",40,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","南明町","吹上(愛知)",10,53000000,95,"","",110,"2017年","木造","","","北","公道",3.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","日和町","本山(愛知)",10,13000000,95,"","",115,"1978年","ＲＣ","","","北東","公道",5.4,"１低住専",50,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","振甫町","池下",15,48000000,115,"","",140,"2004年","木造","","","南東","公道",7.2,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","田代町","覚王山",15,38000000,100,"","",105,"2009年","木造","","","北","公道",6,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","東明町","東山公園(愛知)",10,46000000,180,"","",105,"1996年","木造","","","南","公道",9,"１低住専",39,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","東明町","東山公園(愛知)",15,110000000,300,"","",130,"2022年","木造","","","北","公道",5.4,"１低住専",30,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","春里町","自由ケ丘(愛知)",15,50000000,140,"","",150,"2009年","木造","","","西","公道",7.2,"１中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","春岡通","吹上(愛知)",10,22000000,95,"","",45,"戦前","木造","","","西","公道",4.2,"１種住居",60,168,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","御影町","茶屋ケ坂",15,28000000,205,"","",185,"1970年","ＲＣ","","","南西","公道",8,"１低住専",40,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","鹿子町","本山(愛知)",15,73000000,150,"","",165,"2017年","木造","","","北東","公道",14.5,"１低住専",50,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",5,59000000,70,"","",100,"2019年","木造","","","西","公道",5.2,"２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","田代町","池下",10,35000000,80,"","",75,"2024年","木造","","","","","","１中住専",60,160,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","萱場","ナゴヤドーム前矢田",15,52000000,125,"","",100,"2016年","木造","","","南","公道",29.9,"近隣商業",80,300,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","神田町","今池(愛知)",10,38000000,110,"","",95,"2004年","木造","","","北東","公道",6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","上野","砂田橋",10,48000000,75,"","",110,"2025年","木造","","","西","公道",7.9,"近隣商業",80,300,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","大久手町","吹上(愛知)",5,32000000,65,"","",100,"1998年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","霞ケ丘","自由ケ丘(愛知)",10,60000000,250,"","",100,"2000年","木造","","","北東","公道",15,"１低住専",40,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","香流橋","茶屋ケ坂","",34000000,155,"","",100,"2024年","木造","","","南","公道",2.6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","京命","自由ケ丘(愛知)",25,63000000,290,"","",215,"1990年","木造","","","南","公道",6,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","園山町","本山(愛知)",10,73000000,125,"","",105,"2014年","木造","","","北東","公道",5.2,"１低住専",50,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","園山町","東山公園(愛知)",10,140000000,180,"","",155,"2017年","木造","","","南","",7.2,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","日進通","池下",15,44000000,95,"","",115,"2012年","木造","","","","","","２種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","上野","砂田橋",10,48000000,80,"","",110,"2025年","木造","","","西","公道",7.9,"近隣商業",80,300,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","京命","茶屋ケ坂","",38000000,165,"","",125,"2010年","木造","","","北","公道",15.9,"２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","光が丘","茶屋ケ坂",15,30000000,115,"","",105,"2010年","木造","","","東","公道",10,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","内山","今池(愛知)",10,44000000,70,"","",95,"2022年","木造","","","北東","公道",5.9,"近隣商業",80,300,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","希望ケ丘","自由ケ丘(愛知)",10,43000000,200,"","",155,"1995年","軽量鉄骨造","","","南","公道",5.9,"１低住専",40,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","希望ケ丘","自由ケ丘(愛知)",10,67000000,290,"","",245,"1992年","ＲＣ","","","南西","公道",7.9,"１低住専",40,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","高見","池下",10,73000000,80,"","",150,"2024年","木造","","","西","公道",8,"２中住専",80,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","希望ケ丘","自由ケ丘(愛知)",15,75000000,300,"","",190,"2000年","木造","","","北東","公道",8,"１低住専","","","2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","23101","愛知県","名古屋市千種区","城木町","吹上(愛知)",10,46000000,70,"","",120,"2025年","木造","","","北","公道",5.3,"１種住居",60,200,"2025年第2四半期",""
