"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","旭町","東青森",25,18000000,180,"","",140,"1981年","木造","","","北西","公道",5.3,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","造道","矢田前",25,40000000,180,"","",135,"2023年","木造","","","北","公道",6.5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","堤町","青森","30分～60分",23000000,235,"","",140,"1987年","木造","","","北東","公道",8,"１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","西滝","新青森",25,13000000,125,"","",100,"1997年","木造","","","南東","公道",7,"１低住専",60,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","大字大野","青森","30分～60分",19000000,200,"","",125,"1980年","軽量鉄骨造","","","南","公道",6.4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","大字大野","","",20000000,470,"","",210,"1979年","木造","","","","公道",7.4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","中佃","","",16000000,165,"","",120,"1981年","木造","","","南東","公道",4.5,"１低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","大字駒込","東青森",20,15000000,200,"","",135,"1987年","木造","","","北東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","花園","筒井(青森)",25,18000000,150,"","",130,"1987年","木造","","","北西","公道",4.5,"１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","第二問屋町","筒井(青森)","30分～60分",30000000,320,"","",205,"2011年","木造","","","南","公道",7.6,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","大字新城","","",14000000,240,"","",85,"2013年","木造","","","","公道",5.6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","長島","青森",20,60000000,465,"","",140,"2011年","鉄骨造","","","西","公道",10.8,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","桜川","筒井(青森)",10,17000000,140,"","",145,"1990年","木造","","","北東","私道",6.3,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","02201","青森県","青森市","大字野沢","青森","",8300000,330,"","",20,"2004年","木造","","","北東","公道",7,"１低住専",50,80,"2025年第1四半期",""
