"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","大巌寺町","蘇我","",18000000,130,"","",100,"2001年","木造","","","","","","１低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","東千葉","東千葉",15,34000000,140,"","",105,"2007年","木造","","","北","公道",6.1,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","東千葉","東千葉",20,65000000,195,"","",170,"2021年","木造","","","西","公道",9.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","仁戸名町","鎌取","",23000000,165,"","",105,"2014年","木造","","","南","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","仁戸名町","大森台",25,22000000,120,"","",110,"2014年","木造","","","南西","私道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","南生実町","浜野",15,3000000,140,"","",80,"1971年","木造","","","","","","１種住居","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","弁天","千葉",5,170000000,170,"","",145,"1994年","木造","","","南西","公道",8,"近隣商業",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","弁天","千葉",10,49000000,105,"","",145,"1998年","木造","","","北","公道",11,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","今井","蘇我",5,54000000,95,"","",105,"2024年","木造","","","東","公道",8.1,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","葛城","千葉寺",15,37000000,125,"","",105,"2021年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","葛城","千葉寺",15,35000000,135,"","",100,"2015年","木造","","","西","公道",2.9,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","末広","本千葉",15,43000000,150,"","",120,"2003年","木造","","","北","公道",7.8,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","星久喜町","大森台",25,27000000,155,"","",110,"2010年","木造","","","","","","１低住専","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","蘇我","蘇我",20,45000000,125,"","",105,"2023年","木造","","","南西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","蘇我","蘇我",25,25000000,235,"","",115,"2003年","木造","","","南","公道","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","蘇我","蘇我",25,26000000,135,"","",105,"2001年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","今井町","蘇我",20,33000000,135,"","",120,"2009年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","12101","千葉県","千葉市中央区","今井町","蘇我",25,39000000,210,"","",105,"2024年","木造","","","西","私道",4,"１低住専",60,150,"2025年第1四半期",""
