"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","鷹子町","鷹ノ子",15,19000000,170,"","",120,"1971年","軽量鉄骨造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","平井町","梅本",15,30000000,125,"","",105,"2024年","木造","","","西","公道",4.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","平井町","梅本",15,27000000,120,"","",100,"2024年","木造","","","西","公道",4.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","保免中","土居田",15,26000000,135,"","",105,"2024年","木造","","","北","私道",3,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","南吉田町","","",2000000,95,"","",70,"1969年","木造","","","","","","準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","東石井","福音寺",15,27000000,150,"","",105,"2024年","木造","","","北","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","西垣生町","鎌田","30分～60分",25000000,125,"","",105,"2024年","木造","","","北","公道",4,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","西垣生町","鎌田","30分～60分",22000000,130,"","",100,"2024年","木造","","","北","公道",4,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","東垣生町","鎌田",25,9000000,210,"","",80,"1971年","木造","","","北","公道",4,"工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","東垣生町","鎌田",25,15000000,265,"","",120,"1978年","木造","","","南","私道",4,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","余戸中","余戸",10,6800000,115,"","",80,"1977年","木造","","","北","公道",3.4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","市坪南","","",13000000,110,"","",95,"1995年","木造","","","北","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","枝松","勝山町",20,29000000,140,"","",105,"2024年","木造","","","西","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","山越","萱町６丁目",10,30000000,115,"","",100,"2024年","木造","","","北","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","山越","萱町６丁目",10,26000000,105,"","",90,"2024年","木造","","","北","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","越智","福音寺",25,26000000,140,"","",80,"2024年","木造","","","東","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","越智","福音寺",25,32000000,130,"","",105,"2024年","木造","","","東","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","北久米町","北久米",20,14000000,120,"","",95,"1998年","木造","","","北","私道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","三杉町","三津",5,24000000,130,"","",90,"2024年","木造","","","南西","公道",4,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","吉藤","本町６丁目",25,5500000,85,"","",65,"1977年","木造","","","東","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","太山寺町","伊予和気",25,19000000,130,"","",105,"2024年","木造","","","東","公道",4,"２中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","石風呂町","","",11000000,165,"","",95,"1988年","木造","","","西","公道",6,"１低住専",50,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","北斎院町","山西",25,26000000,135,"","",100,"2024年","木造","","","南","公道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","正円寺","道後公園",25,32000000,150,"","",105,"2025年","木造","","","東","公道",4,"１低住専",50,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","38201","愛媛県","松山市","太山寺町","伊予和気",25,19000000,130,"","",105,"2024年","木造","","","東","公道",4,"２中住専",60,200,"2025年第2四半期",""
