"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","高木","","",26000000,185,"","",125,"2013年","木造","","","北西","公道",6,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","中野","泰澄の里","30分～60分",11000000,265,"","",105,"1979年","木造","","","南西","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","大島町","","",12000000,145,"","",110,"1992年","木造","","","西","",5.6,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","学園","福大前西福井",15,36000000,190,"","",130,"2021年","木造","","","北","",6.2,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","三郎丸町","","",24000000,115,"","",100,"2026年","木造","","","南","公道",4.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","三郎丸町","","",22000000,100,"","",90,"2026年","木造","","","南","公道",4.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","下莇生田町","","",6000000,195,"","",110,"1979年","木造","","","北","公道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","下荒井町","","",23000000,165,"","",120,"2017年","木造","","","南東","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","下荒井町","清明",15,19000000,265,"","",140,"2001年","木造","","","東","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","渡町","","",28000000,215,"","",125,"2015年","木造","","","東","",5,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","上野本町新","","",23000000,110,"","",85,"2025年","木造","","","西","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","上野本町新","","",23000000,110,"","",85,"2025年","木造","","","西","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","足羽","足羽山公園口",5,33000000,130,"","",155,"1979年","木造","","","東","公道",20.3,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","足羽","足羽山公園口","",2200000,260,"","",80,"1975年","木造","","","","公道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","新保","越前新保",5,27000000,250,"","",165,"1986年","木造","","","南","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","新田塚","八ツ島",10,27000000,445,"","",190,"2004年","木造","","","北西","公道",6,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","新田塚","新田塚",5,21000000,140,"","",100,"2024年","","","","北東","公道",6.4,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","舟橋町","","",25000000,215,"","",120,"2004年","軽量鉄骨造","","","南西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","18201","福井県","福井市","古市","","",18000000,215,"","",160,"1988年","木造","","","北","公道",6,"１低住専",90,200,"2024年第4四半期",""
