"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","大里本町","","",30000000,150,"","",110,"2008年","木造","","","北東","公道",6,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","高田","門司",10,36000000,180,"","",115,"2024年","木造","","","","","","１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","上二十町","小森江",20,33000000,150,"","",115,"2024年","木造","","","","","","１中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","上馬寄","","",20000000,435,"","",190,"1995年","軽量鉄骨造","","","西","公道",4,"１種住居","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","白野江","","",5000000,390,"","",150,"1978年","木造","","","北東","公道",2.9,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","寺内","小森江",25,1500000,150,"","",75,"1983年","木造","","","南","公道",6.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","寺内","小森江",20,2900000,310,"","",115,"1972年","木造","","","南西","公道",3.9,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","西新町","門司",25,5000000,125,"","",75,"1976年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","藤松","門司",25,30000000,370,"","",150,"1997年","木造","","","北","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","高田","門司",10,30000000,145,"","",105,"2024年","木造","","","","","","１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","大里本町","門司",10,38000000,180,"","",115,"2010年","木造","","","北東","公道",6,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","光町","","",1300000,185,"","",85,"1973年","木造","","","","","","１低住専",50,80,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","光町","門司","30分～60分",4000000,90,"","",75,"1980年","木造","","","","","","１中住専","","","2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","新開","関門海峡めかり",25,1500000,170,"","",105,"1981年","木造","","","北","私道",2.8,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","新開","","",22000000,145,"","",110,"2023年","木造","","","東","公道",6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","矢筈町","小森江",10,2000000,95,"","",100,"1971年","木造","","","南東","私道",3.8,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","黒川西","","",7800000,265,"","",110,"1980年","木造","","","南西","公道",6,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","上馬寄","門司",25,40000000,155,"","",115,"2025年","木造","","","","","","１中住専","","","2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","白野江","門司港","",1500000,405,"","",95,"1979年","木造","","","東","公道",4,"１低住専",50,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","黒川西","","",2700000,115,"","",70,"1975年","木造","","","","","","１種住居","","","2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","上藤松","","",1200000,135,"","",70,"1969年","木造","","","西","私道",4,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","吉志","","",4000000,165,"","",90,"1975年","木造","","","北","公道",5,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","大里戸ノ上","門司",25,3000000,130,"","",110,"1970年","木造","","","北西","公道",4,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","谷町","門司港",25,3000000,175,"","",100,"1981年","","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","柳原町","門司",15,40000000,180,"","",115,"2025年","木造","","","","","","１中住専",70,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","稲積","門司","30分～60分",13000000,70,"","",105,"1996年","鉄骨造","","","北","公道",5.4,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","大里戸ノ上","門司",25,15000000,235,"","",80,"2003年","木造","","","東","私道",3.2,"１低住専",50,80,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","谷町","門司港",25,1300000,305,"","",60,"1967年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","恒見町","","",26000000,255,"","",105,"2024年","木造","","","","","","１種住居",60,163,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","恒見町","","",28000000,235,"","",105,"2024年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","西新町","門司",25,29000000,1035,"","",220,"1993年","木造","","","西","公道",5,"１種住居",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","下二十町","小森江",15,32000000,130,"","",110,"2024年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","東新町","","",28000000,250,"","",105,"2014年","木造","","","南西","公道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","柳町","門司",15,41000000,250,"","",100,"2025年","木造","","","南東","公道",15.1,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","40101","福岡県","北九州市門司区","柳町","門司",15,41000000,250,"","",100,"2025年","木造","","","南東","公道",15.1,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","40101","福岡県","北九州市門司区","稲積","門司",28,8000000,165,"ほぼ長方形",15.5,90,"1974年","木造","住宅","その他","西","市道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","40101","福岡県","北九州市門司区","大字大積","門司港","1H～1H30",1000000,740,"袋地等",6,105,"1970年","木造","住宅","住宅","北","私道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","40101","福岡県","北九州市門司区","大字大積","門司港","30分～60分",8200000,540,"不整形",10.6,110,"1978年","木造","住宅","住宅","南東","県道",24.5,"１種住居",60,200,"2024年第4四半期",""
