"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","粟野西","岐阜","",20000000,290,"","",160,"2009年","木造","","","北","公道",5.5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","鷺山","","",24000000,150,"","",110,"2023年","木造","","","北","私道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","鷺山","","",25000000,160,"","",110,"2023年","木造","","","東","私道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","鷺山","","",28000000,145,"","",115,"2023年","木造","","","西","私道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","鷺山","","",30000000,145,"","",115,"2023年","木造","","","南","私道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","長良竜東町","名鉄岐阜","1H～1H30",22000000,170,"","",115,"2014年","木造","","","北","公道",5.9,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","東島","","",30000000,180,"","",120,"2017年","木造","","","南","公道",5,"２中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","柳津町梅松","柳津(岐阜)",10,10000000,270,"","",165,"1989年","木造","","","北","公道",7.2,"１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","川部","北方真桑","30分～60分",15000000,325,"","",130,"1970年","木造","","","北","公道",6.8,"１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","中","モレラ岐阜","",18000000,225,"","",120,"2007年","木造","","","西","公道",4.6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","北島","岐阜","",19000000,120,"","",110,"2023年","木造","","","北","公道",4.9,"２中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","太郎丸","","",16000000,425,"","",155,"1997年","軽量鉄骨造","","","北","公道",4.5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","中川原","長森","1H30～2H",15000000,235,"","",140,"1972年","木造","","","東","公道",12,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","長良","名鉄岐阜","1H～1H30",16000000,215,"","",150,"1980年","木造","","","西","公道",4,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","日置江","穂積","1H～1H30",24000000,245,"","",95,"2024年","木造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","日置江","穂積","1H～1H30",24000000,220,"","",95,"2024年","木造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","粟野東","岐阜","",24000000,195,"","",110,"2023年","木造","","","西","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","須賀","西岐阜","30分～60分",7000000,100,"","",80,"1977年","木造","","","南","私道",4,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","粟野西","","",10000000,125,"","",85,"1989年","木造","","","北西","公道",3.7,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","加野","各務原市役所前","1H30～2H",2600000,200,"","",80,"1978年","木造","","","北","公道",5.8,"１低住専",60,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","加納沓井町","岐阜",15,22000000,65,"","",65,"1990年","鉄骨造","","","南","公道",6,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","加納花ノ木町","岐阜",25,23000000,180,"","",110,"2014年","木造","","","北","公道",4,"１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","切通","切通","",17000000,155,"","",105,"1996年","木造","","","西","公道",5.5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","鷺山","","",3000000,145,"","",80,"1957年","木造","","","西","公道",4,"近隣商業",80,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","則武","名鉄岐阜","1H～1H30",19000000,315,"","",165,"1967年","木造","","","南","公道",4,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","大菅南","西岐阜",20,29000000,200,"","",95,"2024年","木造","","","北","公道",8.1,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","大菅南","西岐阜",20,30000000,200,"","",95,"2024年","木造","","","北","公道",8.1,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","大菅南","西岐阜",20,32000000,175,"","",100,"2024年","木造","","","北","公道",8.1,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","加野","名鉄岐阜",15,12000000,200,"","",75,"1977年","木造","","","北東","公道",7,"１低住専",50,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","菊井町","西岐阜",25,9500000,90,"","",80,"1992年","木造","","","北","公道",4,"２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","菅生","岐阜","30分～60分",36000000,320,"","",155,"2012年","木造","","","南","公道",6,"２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","旦島","","",26000000,120,"","",85,"2025年","木造","","","南","公道",6,"２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","旦島中町","西岐阜","1H～1H30",18000000,115,"","",80,"2025年","木造","","","南東","公道","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","鶴見町","田神",20,17000000,200,"","",100,"1980年","木造","","","東","公道",5.4,"１低住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","岩倉町","","",19000000,155,"","",15,"2000年","木造","","","北","公道",4.9,"２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","鷺山","","",2900000,90,"","",45,"1967年","木造","","","北","",2.4,"２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","東中島","","",16000000,280,"","",160,"2005年","木造","","","西","公道",6.5,"準工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","細畑","切通",10,3600000,70,"","",55,"1983年","木造","","","","","","準工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","六条大溝","柳津(岐阜)","30分～60分",1700000,140,"","",90,"1980年","木造","","","","","","準工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","茜部寺屋敷","笠松",25,31000000,225,"","",130,"2016年","木造","","","南","公道",6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","北一色","細畑",25,40000000,340,"","",175,"2015年","木造","","","東","公道",1.8,"１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","蔵前","手力",10,19000000,180,"","",105,"2019年","木造","","","南","公道",6.6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","世保","関(岐阜)","1H～1H30",15000000,225,"","",125,"2013年","木造","","","南","公道",5.1,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","若福町","名鉄岐阜","1H～1H30",15000000,145,"","",95,"1982年","木造","","","東","公道",4,"１低住専",60,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","日野西","岐阜","",6300000,145,"","",105,"1990年","木造","","","南","公道",4.5,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","茜部寺屋敷","西笠松",20,34000000,160,"","",120,"2019年","木造","","","北","公道",6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","大福町","名鉄岐阜","",20000000,190,"","",135,"1990年","木造","","","北西","公道",6,"２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","田神","田神",5,21000000,85,"","",150,"1987年","鉄骨造","","","西","公道",5.4,"２種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","六条江東","岐南","30分～60分",42000000,170,"","",105,"2025年","木造","","","南","公道",6,"準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","柳津町北塚","柳津(岐阜)",10,18000000,190,"","",130,"2008年","木造","","","北","公道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","柳津町本郷","柳津(岐阜)",15,18000000,180,"","",125,"2007年","木造","","","南","私道",4.7,"準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","21201","岐阜県","岐阜市","上川手","茶所",10,11000000,105,"","",55,"2008年","木造","","","","","","準工業",60,200,"2025年第3四半期",""
