"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","天川大島町","前橋大島",20,25000000,140,"","",100,"2024年","木造","","","西","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","小相木町","新前橋",15,11000000,60,"","",70,"1980年","木造","","","東","公道",4.6,"１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","下大島町","前橋大島",25,16000000,235,"","",105,"1986年","木造","","","北","公道",5.9,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","昭和町","中央前橋",25,21000000,130,"","",100,"2025年","木造","","","西","公道",3.7,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","西片貝町","三俣",10,17000000,95,"","",105,"2009年","鉄骨造","","","","私道",4.2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","青柳町","中央前橋","",16000000,150,"","",125,"1997年","木造","","","東","公道",5,"１中住専","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","青柳町","群馬総社","",9500000,105,"","",75,"1979年","木造","","","","私道","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","青柳町","中央前橋","30分～60分",30000000,195,"","",120,"2022年","木造","","","南","公道",4.6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","朝日町","城東",25,29000000,205,"","",115,"2014年","軽量鉄骨造","","","北西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","朝日町","前橋",15,15000000,235,"","",130,"1997年","軽量鉄骨造","","","北","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","上小出町","群馬総社","30分～60分",50000000,235,"","",120,"2022年","木造","","","北","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","山王町","駒形",20,17000000,220,"","",175,"2000年","木造","","","南西","公道",11.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","総社町","群馬総社",25,25000000,185,"","",100,"2024年","木造","","","東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","総社町総社","群馬総社",15,23000000,190,"","",100,"2024年","木造","","","西","公道",3,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","南町","前橋",15,51000000,205,"","",145,"2019年","軽量鉄骨造","","","南","公道",4.8,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","龍蔵寺町","中央前橋","30分～60分",7500000,105,"","",65,"1976年","木造","","","西","公道",10,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","朝倉町","前橋大島",25,22000000,165,"","",100,"2024年","木造","","","東","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","朝倉町","前橋大島",25,15000000,145,"","",105,"2002年","木造","","","東","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","10201","群馬県","前橋市","川原町","群馬総社","30分～60分",16000000,305,"","",105,"1977年","","","","東","公道",7.1,"１低住専",40,80,"2024年第4四半期",""
