"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","小町","","",39000000,130,"","",135,"","","","","北東","",1.9,"近隣商業",80,400,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","舟入南","舟入南",5,38000000,120,"","",130,"2005年","木造","","","北西","公道",4,"近隣商業",80,252,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波西","舟入南",5,36000000,60,"","",105,"2025年","木造","","","西","公道",3.4,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波南","江波",20,33000000,135,"","",110,"2017年","木造","","","北","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","西川口町","舟入川口町",10,75000000,170,"","",130,"2015年","木造","","","北西","公道",5.5,"２種住居",60,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","西川口町","","",86000000,280,"","",135,"","木造","","","南西","公道",7,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","南千田西町","御幸橋",10,48000000,120,"","",130,"2004年","木造","","","北","私道",4,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波西","江波",15,33000000,80,"","",105,"2024年","木造","","","南西","公道",11,"１種住居",70,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波南","江波",15,36000000,100,"","",105,"2024年","木造","","","南","私道",4,"１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波南","江波",15,36000000,100,"","",105,"2024年","木造","","","南","私道",4,"１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波南","江波",15,30000000,70,"","",110,"2015年","木造","","","南東","公道",5.8,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","羽衣町","","",38000000,65,"","",115,"2001年","木造","","","北西","公道",5.9,"２種住居",60,300,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波本町","江波",10,34000000,95,"","",125,"2024年","木造","","","南","公道",2.1,"１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","舟入幸町","舟入幸町",5,15000000,85,"","",50,"1995年","木造","","","北東","公道",6,"２種住居",60,300,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","江波栄町","江波",20,42000000,155,"","",120,"2025年","木造","","","","","","１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","34101","広島県","広島市中区","吉島西","舟入南",15,35000000,95,"","",100,"1997年","木造","","","北東","公道",4,"準工業",60,200,"2025年第3四半期",""
