"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","内原町","内原",10,6500000,180,"","",75,"1982年","木造","","","北","公道",2.7,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","千波町","","",17000000,180,"","",85,"2001年","","","","","公道",6.3,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","千波町","水戸","30分～60分",6000000,135,"","",125,"1977年","木造","","","西","公道",4.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","双葉台","赤塚","",21000000,135,"","",95,"2024年","木造","","","北","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","双葉台","赤塚","",19000000,160,"","",100,"2024年","木造","","","東","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","双葉台","赤塚","",20000000,160,"","",100,"2024年","木造","","","北","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","けやき台","水戸","",18000000,235,"","",145,"1995年","木造","","","北西","",6,"１低住専","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","酒門町","水戸","",22000000,165,"","",100,"2024年","木造","","","","","","工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","酒門町","","",22000000,175,"","",90,"2018年","木造","","","","","","工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","笠原町","水戸","",15000000,150,"","",75,"2009年","木造","","","東","公道",9,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","住吉町","水戸","",30000000,805,"","",215,"1993年","木造","","","南東","公道",6.4,"工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","30分～60分",28000000,220,"","",110,"2025年","木造","","","","","","１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","",2000000,140,"","",85,"1987年","木造","","","南","公道",7.2,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","",11000000,195,"","",115,"1992年","軽量鉄骨造","","","南東","公道",5.3,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","",11000000,195,"","",115,"1992年","軽量鉄骨造","","","南東","公道",5.3,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","",11000000,195,"","",115,"1992年","軽量鉄骨造","","","南東","公道",5.3,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","河和田","赤塚","",16000000,160,"","",85,"2001年","木造","","","南東","私道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","住吉町","水戸","",15000000,210,"","",135,"1994年","木造","","","南","公道",6,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","赤塚","",23000000,270,"","",135,"2001年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","水戸","",29000000,255,"","",95,"2025年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","水戸","",26000000,325,"","",105,"2025年","木造","","","","","","１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","30分～60分",25000000,220,"","",110,"2024年","木造","","","","","","１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","30分～60分",11000000,165,"","",105,"1996年","木造","","","","","","１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","河和田","赤塚",10,32000000,235,"","",85,"2023年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","河和田","赤塚",10,14000000,190,"","",140,"1998年","木造","","","東","",1.8,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","30分～60分",26000000,230,"","",110,"2025年","木造","","","","","","１低住専",40,80,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","30分～60分",26000000,235,"","",115,"2025年","木造","","","","","","１種住居",60,160,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","30分～60分",26000000,215,"","",100,"2025年","木造","","","南","公道",6.8,"１種住居",60,200,"2025年第3四半期",""
