"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","粟崎町","粟ケ崎","",16000000,150,"","",120,"1989年","木造","","","北東","公道",4.9,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","泉野町","野町",20,12000000,85,"","",70,"戦前","木造","","","北東","公道",2.3,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","入江","金沢",25,25000000,170,"","",160,"1990年","木造","","","西","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","窪","野々市工大前",25,21000000,125,"","",135,"2000年","木造","","","西","公道",4.7,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","窪","","",31000000,130,"","",100,"2024年","木造","","","西","公道",4.7,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","黒田","新西金沢","30分～60分",25000000,140,"","",95,"1977年","木造","","","西","公道",7,"１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","三十苅町","","",13000000,160,"","",80,"2000年","木造","","","東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","末町","金沢","",5200000,515,"","",120,"1972年","木造","","","北","公道",3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","千木町","東金沢","30分～60分",35000000,150,"","",110,"2022年","木造","","","北","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","17201","石川県","金沢市","光が丘","","",32000000,120,"","",100,"2024年","木造","","","東","公道",6,"１低住専",60,100,"2024年第4四半期",""
