"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","37201","香川県","高松市","香川町浅野","仏生山","",3800000,180,"","",75,"1983年","木造","","","南西","公道",4.5,"２種住居","","","2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","工業地","37201","香川県","高松市","朝日新町","片原町(高松)","30分～60分",42000000,1600,"ほぼ長方形",28.2,1300,"1980年","鉄骨造、ブロック造","事務所、倉庫","倉庫","西","市道",12,"準工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","朝日町","片原町(高松)",19,500000,125,"ほぼ長方形",9,135,"1977年","ＲＣ","住宅","事務所","北","市道",9,"工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","庵治町","八栗","1H30～2H",35000000,1300,"ほぼ長方形","",150,"2014年","木造","住宅、倉庫","住宅","南東","道路",3.6,"都計外","","","2025年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","工業地","37201","香川県","高松市","庵治町","八栗","1H～1H30",6000000,1400,"ほぼ長方形",34,"","1982年","鉄骨造","作業場、倉庫","倉庫","南西","市道",6,"都計外","","","2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","庵治町","八栗","1H30～2H",8700000,280,"ほぼ台形",27,130,"2004年","木造","住宅","住宅","北西","道路",4,"都計外","","","2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","庵治町","八栗","1H～1H30",750000,80,"不整形",25,30,"1970年","鉄骨造","工場","その他","南西","市道",5,"都計外","","","2025年第1四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","工業地","37201","香川県","高松市","庵治町","八栗","30分～60分",37000000,"2,000㎡以上","ほぼ台形","",900,"1974年","鉄骨造","工場","工場","南東","市道",7,"都計外","","","2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","庵治町","八栗","1H～1H30",720000,240,"不整形",22,155,"1978年","鉄骨造","作業場","その他","南西","市道",4.7,"都計外","","","2024年第4四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","飯田町","鬼無",21,4600000,150,"長方形",11,100,"1973年","木造","住宅","住宅","北","市道",4,"非線引き",60,100,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","一宮町","一宮",7,2300000,220,"不整形",14,70,"1976年","木造","住宅","住宅","北","市道",4,"非線引き",60,100,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","一宮町","一宮",22,25000000,170,"ほぼ長方形",14.2,90,"2025年","","住宅","住宅","北","私道",5,"非線引き",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","一宮町","一宮",20,27000000,210,"ほぼ長方形",12.5,85,"2025年","木造","住宅","住宅","北","私道",6,"非線引き",60,100,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","一宮町","一宮",9,12000000,150,"ほぼ整形",9,105,"2000年","木造","共同住宅","住宅","南","市道",5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","一宮町","一宮",7,80000000,700,"不整形",31.5,430,"2014年","鉄骨造","住宅","住宅","西","市道",4.8,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","一宮町","空港通り",7,24000000,210,"ほぼ台形",11.8,100,"2025年","木造","住宅","住宅","南","市道",4.6,"非線引き",60,100,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",6,30000000,165,"長方形",10,100,"2024年","木造","住宅","住宅","北","市道",5.2,"１中住専",60,200,"2025年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",7,35000000,210,"ほぼ正方形",12,120,"2025年","木造","住宅","","南","私道",5,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",14,26000000,185,"長方形",12.5,100,"2025年","木造","住宅","住宅","西","私道",4,"非線引き",60,100,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",8,6500000,230,"ほぼ整形",12,120,"2008年","軽量鉄骨造","共同住宅","その他","西","市道",5,"１低住専",60,100,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",8,22000000,200,"長方形",9,100,"2025年","木造","住宅","住宅","北","私道",6,"非線引き",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",7,35000000,210,"ほぼ整形",11.5,110,"2024年","木造","住宅","住宅","南","私道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",8,22000000,160,"長方形",8,95,"2024年","木造","住宅","住宅","東","市道",5,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","円座町","円座",7,45000000,220,"正方形",14.5,130,"2025年","木造","住宅","住宅","南","私道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","扇町","昭和町(香川)",5,4500000,80,"ほぼ長方形",4.5,90,"1960年","木造","住宅","住宅","南","市道",7,"近隣商業",80,300,"2024年第4四半期",""
