"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","城山","","",15000000,150,"","",65,"1991年","木造","","","","",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","田上","","",21000000,540,"","",170,"1983年","ＲＣ","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","田上","","",5500000,215,"","",90,"1968年","木造","","","北","私道",5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","明和","","",24000000,215,"","",160,"1996年","軽量鉄骨造","","","東","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","和田","慈眼寺",20,25000000,130,"","",90,"2022年","木造","","","","公道","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","和田","慈眼寺",20,12000000,115,"","",65,"1993年","木造","","","東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","上竜尾町","鹿児島",25,14000000,115,"","",90,"2007年","木造","","","北","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","花野光ケ丘","鹿児島中央","",27000000,195,"","",110,"2023年","木造","","","西","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","花野光ケ丘","","",4200000,205,"","",110,"1983年","軽量鉄骨造","","","北","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","上福元町","谷山(ＪＲ)",25,30000000,110,"","",90,"2023年","木造","","","西","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","上福元町","谷山(ＪＲ)",20,34000000,125,"","",100,"2024年","木造","","","西","私道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","上福元町","慈眼寺",25,20000000,460,"","",170,"1992年","木造","","","北","私道",3,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","西陵","広木",25,25000000,175,"","",115,"2009年","木造","","","東","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","西陵","","",9000000,285,"","",105,"1984年","木造","","","","","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","向陽","宇宿","",25000000,350,"","",120,"1995年","木造","","","南","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","鴨池","鴨池",5,26000000,50,"","",50,"2017年","木造","","","","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","高麗町","","",10000000,65,"","",90,"1993年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","桜ケ丘","","",27000000,120,"","",95,"","木造","","","","","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","46201","鹿児島県","鹿児島市","東谷山","上塩屋",5,27000000,120,"","",115,"2003年","木造","","","北西","公道",4,"２中住専",60,160,"2024年第4四半期",""
