"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","大谷公園町","","",32000000,180,"","",100,"2018年","木造","","","西","公道",4.8,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","葛島","葛島橋東詰",5,33000000,135,"","",115,"2024年","木造","","","北","公道",6,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","鴨部","","",27000000,235,"","",175,"1996年","木造","","","北","公道","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","北竹島町","","",13000000,70,"","",120,"1997年","","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","五台山","","",2300000,125,"","",80,"1974年","木造","","","北","公道",5.1,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","長浜","","",13000000,100,"","",100,"2001年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","東石立町","","",42000000,215,"","",100,"2015年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","南万々","","",18000000,170,"","",130,"1992年","木造","","","西","公道",3.7,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","薊野西町","","",6000000,45,"","",60,"1985年","木造","","","北","公道",5.8,"１中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","朝倉","朝倉(ＪＲ)",20,26000000,135,"","",100,"2024年","木造","","","北東","公道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","朝倉","朝倉(ＪＲ)",20,27000000,140,"","",100,"2024年","木造","","","北東","公道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","39201","高知県","高知市","神田","","",13000000,115,"","",105,"1995年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
