"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","出水","新水前寺",20,40000000,170,"","",120,"2023年","木造","","","西","公道",4.2,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","出水","","",33000000,135,"","",85,"2019年","木造","","","北","公道",5,"２種住居",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","出水","水前寺公園",25,17000000,295,"","",125,"1975年","木造","","","北","私道",4,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","神水本町","商業高校前",10,22000000,160,"","",55,"1956年","木造","","","東","私道","","１低住専",30,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","水前寺","水前寺",15,140000000,275,"","",225,"2022年","木造","","","南","公道",8,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","水前寺","水前寺",20,35000000,125,"","",110,"2024年","木造","","","北西","公道",4,"２中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","島崎","段山町",10,24000000,265,"","",175,"1983年","木造","","","西","公道",6.1,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","渡鹿","東海学園前",10,12000000,165,"","",165,"1972年","木造","","","西","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","渡鹿","東海学園前",15,28000000,185,"","",115,"2003年","木造","","","南","公道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","大江","交通局前(熊本)",10,7000000,55,"","",70,"1965年","木造","","","西","公道",6,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","帯山","東海学園前",25,29000000,110,"","",115,"2024年","木造","","","西","公道",4.2,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","帯山","東海学園前",25,54000000,180,"","",145,"2019年","軽量鉄骨造","","","北西","公道",6,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","坪井","坪井川公園",10,13000000,80,"","",80,"1988年","木造","","","","","","準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","八王寺町","南熊本",15,46000000,235,"","",165,"2005年","軽量鉄骨造","","","西","公道",6,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","迎町","河原町(熊本)",15,22000000,190,"","",110,"1977年","木造","","","","","","２種住居","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","国府","","",22000000,210,"","",210,"2002年","木造","","","北","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","43101","熊本県","熊本市中央区","出水","市立体育館前",25,4600000,75,"","",60,"1977年","木造","","","北","",4,"１低住専",40,80,"2025年第2四半期",""
