"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","紫野北舟岡町","北大路","",44000000,130,"","",125,"戦前","木造","","","北","私道",3.5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","大宮南林町","","",51000000,100,"","",95,"2024年","木造","","","西","公道",5.8,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","上賀茂馬ノ目町","北山(京都)","30分～60分",6800000,55,"","",55,"1967年","木造","","","北","私道",5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","上賀茂馬ノ目町","北大路","",22000000,125,"","",100,"1968年","木造","","","東","私道",5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","上賀茂東後藤町","二軒茶屋(京都)",25,32000000,145,"","",85,"2015年","木造","","","北","公道",6,"１低住専",40,60,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","衣笠街道町","北野白梅町",20,27000000,80,"","",85,"2011年","木造","","","東","公道",6.2,"２種住居",60,239,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","衣笠氷室町","北大路","",5500000,60,"","",65,"1977年","木造","","","南","私道",3.7,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","衣笠開キ町","北大路","",6300000,40,"","",65,"1992年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","衣笠開キ町","北野白梅町",25,7500000,60,"","",50,"1969年","木造","","","北","私道",3.8,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","小山元町","北大路",10,34000000,75,"","",135,"1995年","木造","","","","",2.9,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","小山元町","北大路",10,34000000,75,"","",135,"1995年","木造","","","南","私道",2.9,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","等持院北町","北野白梅町",10,33000000,100,"","",80,"2011年","木造","","","南","公道",4.4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","等持院北町","等持院・立命館大学衣笠キャンパス前",5,65000000,200,"","",105,"2024年","木造","","","東","公道",4,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","等持院北町","等持院・立命館大学衣笠キャンパス前",5,40000000,105,"","",75,"2024年","木造","","","西","私道",3.5,"１低住専",40,60,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","西賀茂柿ノ木町","北大路","",35000000,120,"","",105,"2006年","木造","","","南東","公道",6,"１中住専",40,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","大宮南箱ノ井町","","",26000000,80,"","",75,"2001年","木造","","","南","公道",6,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","26101","京都府","京都市北区","上賀茂岡本町","北山(京都)",20,60000000,245,"","",130,"1965年","木造","","","","私道",4,"１低住専",50,80,"2024年第4四半期",""
