"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","川内三十人町","川内(宮城)",15,22000000,210,"","",150,"1992年","木造","","","北","公道",4,"２種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","国見ケ丘","仙台","",20000000,215,"","",130,"1994年","木造","","","北西","公道",5.5,"１低住専",40,60,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","桜ケ丘","仙台","",29000000,265,"","",160,"1998年","木造","","","南","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","桜ケ丘","北山(宮城)","",27000000,265,"","",120,"2001年","木造","","","北","公道",5.9,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","桜ケ丘","","",36000000,135,"","",105,"2024年","木造","","","南西","公道",7.9,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","桜ケ丘","泉中央","",21000000,215,"","",110,"1984年","軽量鉄骨造","","","南西","公道",6.2,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","落合","陸前落合",15,45000000,245,"","",240,"2008年","木造","","","南","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","落合","陸前落合",10,32000000,160,"","",105,"2024年","木造","","","","","","２中住専","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","落合","陸前落合",15,33000000,220,"","",115,"2015年","木造","","","西","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","青葉町","北仙台",10,21000000,170,"","",80,"1995年","木造","","","東","私道",4,"２種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)",10,38000000,140,"","",105,"2024年","木造","","","北","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)",15,34000000,165,"","",110,"2025年","木造","","","南東","公道",4,"２低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)",5,22000000,275,"","",95,"1978年","木造","","","南西","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)",10,44000000,150,"","",110,"2024年","木造","","","北","公道",4.7,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)",10,44000000,145,"","",110,"2024年","木造","","","東","公道",4.8,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)",15,44000000,260,"","",110,"2024年","木造","","","南","公道",4.9,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","貝ケ森","東北福祉大前",10,33000000,140,"","",90,"2020年","木造","","","","公道","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","台原","台原",10,35000000,215,"","",105,"2024年","木造","","","南西","私道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","台原","東照宮",15,33000000,90,"","",75,"2024年","木造","","","南","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","中江","東照宮",15,45000000,100,"","",105,"2025年","木造","","","南","公道",6.3,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","中江","東照宮",20,44000000,265,"","",115,"2013年","木造","","","東","私道",4,"２種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","04101","宮城県","仙台市青葉区","中山吉成","仙台","",24000000,135,"","",100,"2020年","木造","","","北西","公道",5.9,"１中住専",60,200,"2024年第4四半期",""
