"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","北権現町","宮崎神宮",15,44000000,145,"","",105,"2024年","木造","","","北","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","北権現町","宮崎神宮",15,44000000,145,"","",105,"2024年","木造","","","北","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","大塚町","","",34000000,185,"","",95,"2023年","木造","","","東","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","大塚町","宮崎","30分～60分",29000000,175,"","",100,"2025年","木造","","","東","私道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","大塚町","宮崎","30分～60分",31000000,135,"","",95,"2024年","木造","","","南","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","大字郡司分","田吉",25,16000000,185,"","",85,"1984年","木造","","","北東","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","潮見町","宮崎",25,24000000,130,"","",95,"2024年","木造","","","北","公道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","下北方町","宮崎神宮",15,35000000,270,"","",160,"2008年","木造","","","西","私道",3,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","恒久南","南宮崎",15,24000000,150,"","",100,"2024年","木造","","","東","公道",6,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","大字本郷南方","南方(宮崎)",10,23000000,265,"","",130,"2002年","木造","","","南","公道",2.7,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","大字本郷南方","","",23000000,175,"","",135,"2000年","木造","","","","","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","吉村町","宮崎","30分～60分",30000000,265,"","",100,"2018年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","吉村町","宮崎",25,20000000,120,"","",85,"2014年","木造","","","北","私道",5,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","45201","宮崎県","宮崎市","清武町池田台","","",34000000,235,"","",120,"1988年","軽量鉄骨造","","","南","公道",6,"１低住専",50,80,"2024年第4四半期",""
