"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","大字安茂里","安茂里",25,29000000,160,"","",105,"2019年","木造","","","南東","公道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","川中島町","篠ノ井",25,33000000,175,"","",105,"2018年","木造","","","南","公道",5,"２中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","川中島町","川中島",15,19000000,295,"","",165,"1979年","","","","東","公道",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","大字三才","三才",15,20000000,205,"","",95,"2024年","木造","","","北","",4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","大字下駒沢","三才",20,12000000,290,"","",150,"1979年","木造","","","北西","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","吉田","桐原(長野)",5,41000000,150,"","",105,"2024年","木造","","","南","公道",3.3,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","篠ノ井杵淵","","",35000000,350,"","",135,"2012年","木造","","","","","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","青木島町","川中島","30分～60分",36000000,165,"","",95,"2023年","木造","","","南","",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","大字若槻団地","信濃吉田",20,33000000,215,"","",105,"2025年","木造","","","東","公道",5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","篠ノ井御幣川","篠ノ井",20,27000000,195,"","",120,"2016年","軽量鉄骨造","","","北","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","三本柳東","川中島",25,43000000,355,"","",115,"2021年","木造","","","南","公道",6.4,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","20201","長野県","長野市","三本柳東","川中島",25,43000000,355,"","",115,"2021年","木造","","","南","公道",6.4,"１低住専",50,80,"2024年第4四半期",""
