"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","ダイヤランド","","",20000000,230,"","",150,"1987年","木造","","","","","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","千歳町","昭和町通",10,17000000,70,"","",120,"1980年","ＲＣ","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","千歳町","","",17000000,70,"","",120,"1980年","ＳＲＣ","","","北東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","界","","",8800000,190,"","",100,"1993年","木造","","","西","私道",4.2,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","滑石","","",12000000,185,"","",130,"1976年","木造","","","東","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","滑石","","",28000000,105,"","",95,"2023年","木造","","","南西","",4,"１中住専",60,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","西琴平町","","",3000000,95,"","",75,"1980年","木造","","","西","公道",1.9,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","女の都","","",22000000,205,"","",125,"1997年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","本尾町","","",2700000,190,"","",90,"1968年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","みなと坂","","",43000000,220,"","",175,"2003年","鉄骨造","","","北西","公道",5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","みなと坂","","",36000000,220,"","",135,"2007年","木造","","","","","","１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","泉","","",39000000,205,"","",115,"2011年","軽量鉄骨造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","天神町","スタジアムシティサウス",5,4000000,110,"","",55,"1962年","木造","","","北東","公道",2.3,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","北栄町","","",22000000,230,"","",155,"1991年","軽量鉄骨造","","","南東","公道",4.6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","稲佐町","","",26000000,345,"","",130,"1995年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","大手","","",18000000,115,"","",90,"1984年","木造","","","北東","公道",4.5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","川平町","","",2500000,210,"","",120,"1979年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","つつじが丘","","",4700000,260,"","",120,"1974年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","つつじが丘","","",16000000,350,"","",165,"1989年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","鳴見台","","",21000000,100,"","",100,"2024年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","鳴見台","","",17000000,215,"","",115,"1992年","軽量鉄骨造","","","北","公道",6,"２低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","三川町","","",11000000,260,"","",100,"1966年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","柳谷町","","",1000000,175,"","",95,"1967年","木造","","","南東","私道",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","横尾","","",5000000,180,"","",100,"1971年","軽量鉄骨造","","","南","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","高城台","現川","",27000000,195,"","",130,"2005年","軽量鉄骨造","","","西","公道",6,"２低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","42201","長崎県","長崎市","岩見町","浦上",15,27000000,95,"","",80,"2020年","木造","","","","","","１中住専",60,200,"2025年第1四半期",""
