"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","石動","豊栄",5,25000000,185,"","",85,"1999年","木造","","","南東","公道",6,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","石動","豊栄",5,25000000,185,"","",85,"1999年","木造","","","南東","公道",6,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","美里","豊栄",25,17000000,150,"","",85,"1995年","木造","","","南","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","美里","豊栄",25,25000000,160,"","",100,"2022年","木造","","","北東","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","川西","","",13000000,170,"","",125,"1981年","木造","","","西","公道",6.8,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","木崎","豊栄","30分～60分",4800000,160,"","",80,"1985年","木造","","","北東","私道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","新元島町","","",23000000,195,"","",105,"2024年","木造","","","南","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","白新町","豊栄",10,22000000,275,"","",115,"1999年","木造","","","南東","公道",8,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","須戸","早通",15,15000000,170,"","",135,"1994年","木造","","","南","公道",6,"１低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","葛塚","豊栄",10,26000000,160,"","",110,"2024年","木造","","","南西","公道",5.9,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","石動","豊栄","",15000000,320,"","",155,"1998年","木造","","","","公道",11,"２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","石動","豊栄",5,17000000,320,"","",155,"1998年","木造","","","南東","",11,"２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","葛塚","豊栄",15,14000000,150,"","",125,"1991年","木造","","","北","公道",12.5,"近隣商業",80,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","葛塚","豊栄",15,15000000,185,"","",215,"1979年","木造","","","北","公道",13,"近隣商業",80,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","西名目所","","",5000000,250,"","",90,"1981年","木造","","","北西","公道",6,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","松浜東町","新崎","1H～1H30",15000000,220,"","",155,"1995年","木造","","","南","私道",4,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","柳原","豊栄",15,9800000,230,"","",145,"1989年","木造","","","南","公道",11,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","川西","豊栄",20,20000000,155,"","",105,"2024年","木造","","","","","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","太夫浜新町","","",25000000,230,"","",120,"2015年","木造","","","南","公道",6,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","すみれ野","新崎",5,30000000,180,"","",120,"2021年","軽量鉄骨造","","","南","公道",6.1,"工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","松浜みなと","新崎","1H～1H30",20000000,250,"","",105,"2011年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","木崎","早通","30分～60分",18000000,260,"","",150,"1980年","木造","","","南","公道",7.5,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","白新町","豊栄",5,20000000,140,"","",100,"2024年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","白新町","豊栄",5,23000000,145,"","",105,"2024年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","松浜","","",5500000,80,"","",75,"1972年","木造","","","北","公道",5.9,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","松浜","新崎","1H～1H30",21000000,160,"","",105,"2024年","木造","","","西","公道",4,"１中住専",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","嘉山","豊栄",25,14000000,330,"","",130,"1992年","軽量鉄骨造","","","南東","公道",6,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","松浜","新崎","1H～1H30",3000000,165,"","",90,"1985年","木造","","","西","公道",6,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","松浜新町","新潟","",19000000,140,"","",105,"2024年","木造","","","北西","公道",5.5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","松浜新町","新潟","",19000000,140,"","",110,"2024年","木造","","","北西","公道",5.5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","太田","豊栄",15,22000000,150,"","",100,"2009年","木造","","","南","公道",6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","15101","新潟県","新潟市北区","早通南","早通",5,14000000,230,"","",185,"1990年","木造","","","北","公道",6,"１低住専",60,100,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","15101","新潟県","新潟市北区","彩野","早通",10,21000000,155,"長方形","",120,"2000年","木造","住宅","住宅","南","市道",6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","15101","新潟県","新潟市北区","太田","黒山",8,5500000,630,"ほぼ長方形",11,420,"1990年","鉄骨造","作業場","工場","東","市道",6,"調整区域",70,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","15101","新潟県","新潟市北区","上土地亀","豊栄",16,10000000,1000,"長方形","",165,"","木造","事務所","事務所","北東","県道",9,"調整区域",70,200,"2025年第1四半期",""
