"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字市","豊後国分","30分～60分",31000000,155,"","",100,"2025年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字市","豊後国分","30分～60分",32000000,210,"","",100,"2025年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字猪野","高城","30分～60分",9000000,210,"","",105,"1985年","木造","","","東","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字下徳丸","","",26000000,395,"","",115,"2005年","軽量鉄骨造","","","東","公道","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","高江南","大分大学前",25,25000000,230,"","",110,"2012年","木造","","","北","公道",10,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","日岡","高城",15,8500000,105,"","",75,"1972年","木造","","","南","公道","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","牧上町","牧(大分)",10,29000000,110,"","",100,"2024年","木造","","","北","公道",6,"１種住居",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","希望が丘","牧(大分)",20,33000000,210,"","",105,"2011年","軽量鉄骨造","","","南西","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","富士見が丘西","豊後国分","30分～60分",31000000,230,"","",110,"2015年","木造","","","南西","公道",5,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","明野北","高城",20,15000000,185,"","",125,"1989年","木造","","","南","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字城原","大在",25,24000000,265,"","",100,"2013年","木造","","","西","公道",8.2,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字中戸次","中判田","30分～60分",25000000,150,"","",95,"2024年","木造","","","東","公道",4.2,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字中戸次","中判田","30分～60分",30000000,165,"","",115,"2014年","木造","","","","","","近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字光吉","敷戸",25,30000000,170,"","",100,"2013年","木造","","","南","公道","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字横尾","高城","1H～1H30",23000000,145,"","",90,"2014年","木造","","","西","私道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字葛木","高城","30分～60分",37000000,160,"","",105,"2023年","木造","","","南","公道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字迫","","",12000000,205,"","",105,"1987年","木造","","","北","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字森","鶴崎","30分～60分",33000000,255,"","",100,"1979年","木造","","","北","公道",4,"２低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","宗方台北","","",31000000,285,"","",130,"1984年","軽量鉄骨造","","","南東","公道",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","横尾東町","鶴崎","1H～1H30",35000000,230,"","",125,"2017年","木造","","","西","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字荏隈","南大分",10,29000000,155,"","",100,"2024年","木造","","","北","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字千歳","高城",10,16000000,245,"","",130,"1976年","木造","","","南","公道",4.5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字皆春","鶴崎",25,16000000,185,"","",95,"1986年","木造","","","北","公道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","明野高尾","","",23000000,215,"","",160,"1978年","木造","","","","","","１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","緑が丘","豊後国分","",11000000,225,"","",95,"1983年","軽量鉄骨造","","","北東","公道",6,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","希望が丘","牧(大分)",20,35000000,245,"","",125,"2008年","軽量鉄骨造","","","南西","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","希望が丘","牧(大分)",20,35000000,245,"","",125,"2008年","軽量鉄骨造","","","南西","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","森町西","鶴崎",25,39000000,215,"","",125,"2014年","軽量鉄骨造","","","東","公道",6,"２中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","畑中","南大分",20,25000000,135,"","",110,"2024年","木造","","","北","公道",5.9,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","明野高尾","","",17000000,210,"","",115,"1992年","木造","","","","","","１低住専","","","2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","明野南","牧(大分)","30分～60分",25000000,235,"","",130,"2002年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字猪野","高城","30分～60分",17000000,120,"","",95,"1995年","木造","","","南","公道","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字神崎","西大分",20,12000000,170,"","",100,"1999年","木造","","","南東","私道",4.8,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","希望が丘","牧(大分)",20,34000000,215,"","",125,"2007年","軽量鉄骨造","","","南西","公道",6,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","雄城台中央","豊後国分","",10000000,205,"","",110,"1983年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","畑中","南大分",20,24000000,130,"","",105,"2024年","木造","","","北","公道",5.9,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","畑中","南大分",20,24000000,130,"","",105,"2024年","木造","","","北","公道",5.9,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","明野南","牧(大分)","30分～60分",45000000,200,"","",100,"2021年","軽量鉄骨造","","","","","","１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","明野南","牧(大分)","30分～60分",24000000,235,"","",130,"2002年","木造","","","","","","１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字口戸","豊後国分","30分～60分",27000000,175,"","",105,"2024年","木造","","","北","公道",4.2,"１種住居",60,170,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字小池原","高城",25,27000000,165,"","",105,"2025年","木造","","","北","私道",7.8,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","高江南","中判田",25,27000000,240,"","",135,"2004年","軽量鉄骨造","","","","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","中島西","大分",25,46000000,210,"","",115,"2004年","木造","","","東","公道",6,"１低住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","望みが丘","大在",25,19000000,185,"","",130,"1999年","木造","","","南","公道",6,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","希望が丘","牧(大分)",15,49000000,230,"","",135,"2003年","軽量鉄骨造","","","北東","公道",6,"１低住専",40,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","長浜町","大分",20,36000000,200,"","",140,"1996年","木造","","","南","公道",7.3,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字中判田","中判田",20,27000000,165,"","",105,"2019年","木造","","","","","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字中判田","中判田",5,36000000,215,"","",120,"2023年","木造","","","北東","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字中戸次","","",10000000,245,"","",125,"1994年","木造","","","南","公道",6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字光吉","敷戸",25,28000000,170,"","",100,"2013年","木造","","","南","公道","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字光吉","敷戸",25,30000000,175,"","",100,"2022年","木造","","","南","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","かたしま台","滝尾",25,29000000,210,"","",110,"2007年","木造","","","南","公道",5,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","豊饒","南大分",20,29000000,150,"","",100,"2022年","木造","","","東","公道",9.8,"２中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","豊饒","南大分",25,29000000,135,"","",110,"2024年","木造","","","北","",4,"２中住専",70,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","高江北","大分大学前",15,23000000,420,"","",165,"1996年","軽量鉄骨造","","","北","公道",6.1,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字中戸次","","",25000000,150,"","",100,"2025年","木造","","","西","",4,"１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","大字八幡","西大分",20,18000000,400,"","",120,"1988年","木造","","","南東","公道",6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","賀来北","賀来",10,29000000,265,"","",275,"1994年","鉄骨造","","","西","","","２中住専","",60,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","雄城台","","",14000000,175,"","",100,"2007年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","田尻北","","",4500000,245,"","",85,"1975年","木造","","","北","公道",4,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","豊饒","南大分",20,39000000,425,"","",150,"1999年","軽量鉄骨造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","44201","大分県","大分市","羽屋","古国府",25,35000000,155,"","",105,"2025年","木造","","","東","公道",5.7,"２中住専",60,200,"2025年第2四半期",""
