"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","伊島町","岡山","",45000000,170,"","",100,"2002年","木造","","","北","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","伊福町","岡山",20,36000000,150,"","",175,"1990年","木造","","","北","公道",3.4,"２種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","大元","大元",15,37000000,140,"","",110,"1984年","木造","","","西","私道",4,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","小山","備中高松",20,25000000,185,"","",100,"2023年","木造","","","東","公道",3,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","佐山","岡山","",13000000,290,"","",110,"1982年","鉄骨造","","","北東","公道",9.5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","白石","北長瀬",25,34000000,110,"","",110,"2023年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","大安寺東町","大安寺",15,36000000,120,"","",85,"2024年","木造","","","北","",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","高松原古才","備中高松",10,6000000,160,"","",180,"1961年","","","","北","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","丸の内","県庁通り",10,32000000,130,"","",100,"1994年","木造","","","西","公道",2.5,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","牟佐","玉柏",25,15000000,280,"","",125,"1989年","木造","","","北","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","牟佐","","",9800000,175,"","",125,"1995年","木造","","","南","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","今保","岡山","",25000000,235,"","",135,"2004年","軽量鉄骨造","","","東","公道",2,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","久米","北長瀬",20,40000000,200,"","",105,"2018年","木造","","","北","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","富田","大元",15,44000000,150,"","",110,"2021年","軽量鉄骨造","","","東","公道",6,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","富田","大元",20,14000000,110,"","",125,"1985年","木造","","","南","私道",5,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","富町","岡山",15,50000000,100,"","",120,"2024年","木造","","","東","公道",4,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","下伊福本町","備前三門",10,4800000,155,"","",75,"1969年","木造","","","北","私道",2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","津島本町","","",36000000,120,"","",105,"1999年","軽量鉄骨造","","","南","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","33101","岡山県","岡山市北区","津島南","法界院",20,25000000,115,"","",105,"1989年","木造","","","東","公道",4,"１低住専",50,100,"2024年第4四半期",""
