"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","宇栄原","","",28000000,140,"","",80,"1990年","","","","東","公道",4.2,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里石嶺町","石嶺",15,20000000,440,"","",75,"1989年","ＲＣ","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里鳥堀町","首里",10,62000000,260,"","",125,"2016年","ＲＣ","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","宇栄原","","",41000000,160,"","",115,"2011年","木造","","","","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里儀保町","","",42000000,120,"","",85,"1992年","","","","南","公道","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","上之屋","おもろまち",20,140000000,200,"","",125,"2007年","ＲＣ","","","北東","公道",12,"１低住専",50,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里金城町","首里","",68000000,210,"","",250,"1994年","ＲＣ","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里山川町","","",40000000,135,"","",105,"2019年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里金城町","","",38000000,175,"","",130,"1995年","ＲＣ","","","東","私道",4,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","銘苅","古島",5,190000000,270,"","",305,"2010年","ＲＣ","","","東","公道",6,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字田原","小禄",10,28000000,160,"","",150,"1977年","","","","北西","公道",4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里大中町","儀保",10,61000000,175,"","",105,"2025年","木造","","","南","私道",5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里石嶺町","首里",15,37000000,175,"","",145,"1983年","","","","","公道","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里大名町","儀保",15,38000000,90,"","",85,"2010年","ＲＣ","","","南西","私道",4.3,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字松川","安里",15,71000000,235,"","",100,"2013年","ＲＣ","","","西","公道",3.6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","楚辺","","",57000000,120,"","",100,"2002年","ＲＣ","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","古波蔵","壺川",15,49000000,95,"","",110,"2015年","ＲＣ","","","南西","",4,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字松川","安里",15,45000000,105,"","",95,"2025年","木造","","","東","公道",4,"１中住専",60,192,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字松川","安里",15,43000000,110,"","",95,"2025年","木造","","","東","公道",4,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字安謝","","",45000000,170,"","",95,"1984年","ブロック造","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","小禄","奥武山公園",20,47000000,100,"","",90,"2025年","木造","","","","","","１中住専",70,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字国場","","",46000000,110,"","",100,"2025年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","首里末吉町","市立病院前(沖縄)",10,45000000,130,"","",110,"1997年","","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字仲井真","","",47000000,115,"","",100,"2025年","木造","","","","私道","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","47201","沖縄県","那覇市","字国場","安里","30分～60分",9500000,160,"","",125,"1974年","ブロック造","","","南","公道",3.5,"１中住専",60,200,"2025年第3四半期",""
