"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","都島北通","都島",5,44000000,80,"","",180,"1985年","鉄骨造","","","南東","公道",6,"１種住居",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","都島本通","野江内代",10,19000000,50,"","",65,"1955年","木造","","","南西","私道",4,"１種住居",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","都島本通","都島",10,19000000,50,"","",90,"1965年","木造","","","南","公道",3.8,"１種住居",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","毛馬町","城北公園通",15,41000000,90,"","",100,"2013年","木造","","","西","公道",4,"２中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","毛馬町","城北公園通",15,44000000,75,"","",100,"2022年","木造","","","北東","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","毛馬町","城北公園通",15,26000000,45,"","",105,"1990年","鉄骨造","","","北西","",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","大東町","城北公園通",10,18000000,60,"","",120,"1985年","","","","北東","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","友渕町","都島",10,42000000,60,"","",120,"2006年","鉄骨造","","","南","私道",5,"１種住居",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","都島中通","京橋(大阪)",10,49000000,80,"","",115,"2010年","木造","","","","",7.2,"１種住居",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","27102","大阪府","大阪市都島区","御幸町","野江内代",15,44000000,60,"","",115,"2010年","木造","","","東","私道",4,"１種住居",80,200,"2024年第4四半期",""
