"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","新中町","佐賀",15,45000000,545,"","",170,"1977年","木造","","","","公道","","２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","高木瀬東","佐賀","30分～60分",35000000,205,"","",105,"2024年","木造","","","北","公道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","若宮","佐賀",15,25000000,150,"","",110,"2024年","木造","","","北","私道",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","日の出","佐賀",25,34000000,170,"","",105,"2024年","木造","","","北","私道",4,"２種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","水ヶ江","佐賀","30分～60分",16000000,250,"","",140,"1974年","木造","","","南西","公道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","与賀町","佐賀","30分～60分",12000000,365,"","",90,"1971年","木造","","","東","",3.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","大和町大字久池井","佐賀","",20000000,255,"","",155,"2006年","木造","","","","","","２低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","大和町大字久池井","佐賀","1H～1H30",20000000,170,"","",100,"2024年","木造","","","北","私道",4,"１低住専",60,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","高木瀬西","佐賀","30分～60分",27000000,155,"","",105,"","木造","","","北","公道",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","天祐","佐賀",20,26000000,125,"","",100,"","木造","","","北","私道",4,"１中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","鍋島","","",15000000,235,"","",120,"1990年","木造","","","北","公道",5,"１中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","光","鍋島","30分～60分",17000000,190,"","",110,"1976年","木造","","","東","私道",5.2,"１低住専",60,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","新郷本町","","",22000000,150,"","",105,"2020年","木造","","","南","公道",5.5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","大和町大字尼寺","佐賀","1H～1H30",21000000,190,"","",100,"","木造","","","南","公道",7.9,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","大和町大字尼寺","佐賀","1H～1H30",21000000,175,"","",100,"","木造","","","南","公道",7.9,"近隣商業",69,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","大和町大字尼寺","佐賀","1H～1H30",23000000,125,"","",100,"","木造","","","南","公道",7.9,"近隣商業",66,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","大和町大字尼寺","","",17000000,240,"","",90,"2004年","軽量鉄骨造","","","東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","41201","佐賀県","佐賀市","諸富町大字徳富","","",17000000,215,"","",140,"1979年","木造","","","東","公道",4,"準工業",60,200,"2024年第4四半期",""
