"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字西遊馬","指扇",5,33000000,125,"","",100,"2019年","木造","","","南西","公道",5.5,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字佐知川","大宮(埼玉)","",16000000,100,"","",90,"1995年","木造","","","北東","私道",4,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",20,25000000,120,"","",100,"2016年","木造","","","北東","私道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","プラザ","指扇","",12000000,90,"","",55,"2001年","ＲＣ","","","北東","公道",6,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","プラザ","大宮(埼玉)","",20000000,170,"","",140,"1994年","木造","","","南東","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,41000000,165,"","",125,"2013年","木造","","","南西","公道",5.4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",5,53000000,160,"","",115,"2013年","軽量鉄骨造","","","西","公道",9,"準住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",25,42000000,135,"","",100,"2021年","木造","","","北東","公道",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,44000000,135,"","",100,"2018年","木造","","","東","公道",5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",25,45000000,150,"","",115,"2018年","木造","","","南","公道",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,44000000,155,"","",100,"2024年","木造","","","北","公道",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,48000000,155,"","",100,"2024年","木造","","","西","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,46000000,155,"","",100,"2024年","木造","","","西","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字内野本郷","宮原",25,32000000,180,"","",100,"2021年","木造","","","西","公道",4.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字内野本郷","宮原","",17000000,130,"","",100,"2006年","木造","","","南東","私道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字指扇","西大宮",10,20000000,100,"","",95,"2005年","木造","","","南西","公道",4,"１中住専",60,168,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","三橋","西大宮",20,25000000,105,"","",100,"1999年","木造","","","南東","私道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字水判土","大宮(埼玉)","",41000000,140,"","",100,"2025年","木造","","","北西","公道",4,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字佐知川","大宮(埼玉)","",36000000,115,"","",105,"2023年","木造","","","北東","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字佐知川","西大宮","30分～60分",30000000,105,"","",100,"2024年","木造","","","南西","私道",4,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",20,30000000,130,"","",100,"2024年","木造","","","","","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",20,26000000,135,"","",115,"2006年","木造","","","南西","公道",4,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","プラザ","指扇",25,33000000,105,"","",95,"2024年","木造","","","南東","公道",5.9,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",20,77000000,265,"","",220,"2018年","軽量鉄骨造","","","南","公道",6,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",20,39000000,145,"","",100,"2019年","木造","","","西","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,41000000,155,"","",100,"2024年","木造","","","北","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,41000000,135,"","",100,"2024年","木造","","","西","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,42000000,135,"","",100,"2024年","木造","","","北西","公道",5,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字佐知川","大宮(埼玉)","",30000000,205,"","",130,"2014年","木造","","","北西","公道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字佐知川","大宮(埼玉)","",26000000,100,"","",100,"2018年","木造","","","東","公道",4,"１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",20,29000000,120,"","",100,"2016年","木造","","","南西","私道",6,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","プラザ","指扇",20,31000000,110,"","",100,"2024年","木造","","","北東","公道",4.5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","プラザ","指扇",25,34000000,125,"","",100,"2025年","木造","","","","公道","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,44000000,135,"","",105,"2025年","木造","","","南","公道",5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,47000000,135,"","",105,"2025年","木造","","","南","公道",5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",25,35000000,140,"","",100,"2020年","木造","","","北西","公道",4,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,32000000,135,"","",100,"2024年","木造","","","東","公道",5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,37000000,135,"","",100,"2024年","木造","","","北","公道",5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","西大宮","西大宮",15,33000000,135,"","",100,"2024年","木造","","","東","公道","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字佐知川","大宮(埼玉)","",23000000,140,"","",120,"1989年","軽量鉄骨造","","","北東","私道",4,"１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字佐知川","西大宮","",33000000,205,"","",130,"2014年","木造","","","北西","公道",4,"１種住居",60,160,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",20,31000000,110,"","",105,"2025年","木造","","","北西","私道",4,"１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",15,27000000,125,"","",100,"2021年","木造","","","南西","私道",6,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",15,28000000,130,"","",100,"2021年","木造","","","","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",10,38000000,120,"","",100,"2022年","木造","","","西","公道",6,"１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","大字土屋","指扇",15,35000000,115,"","",100,"2025年","木造","","","南","公道",5.9,"２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","11101","埼玉県","さいたま市西区","プラザ","指扇","30分～60分",25000000,95,"","",95,"2012年","木造","","","南西","公道",13,"１低住専",50,100,"2025年第3四半期",""
