"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","石山寺","石山","",28000000,200,"","",105,"2019年","木造","","","西","公道",7.4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","一里山","瀬田(滋賀)",25,20000000,125,"","",95,"2002年","木造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","一里山","瀬田(滋賀)",25,25000000,160,"","",125,"2000年","木造","","","北西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","国分","石山",25,4500000,55,"","",45,"1970年","木造","","","北","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","国分","石山",25,42000000,130,"","",105,"2023年","木造","","","南西","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","国分","石山","",6800000,90,"","",50,"1967年","木造","","","北","公道",4.5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","里","石山寺","",13000000,120,"","",90,"1989年","木造","","","東","私道",5.1,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","清風町","小野(滋賀)",25,9000000,165,"","",100,"1983年","木造","","","南","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","清風町","小野(滋賀)",25,9000000,175,"","",110,"1983年","軽量鉄骨造","","","北","公道",6.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","瀬田","石山","",19000000,210,"","",130,"1979年","木造","","","北","公道",6,"１中住専",40,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","南郷","石山","",9800000,170,"","",125,"1994年","木造","","","","",5.8,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","比叡平","","",14000000,225,"","",130,"1992年","軽量鉄骨造","","","南","公道",4.9,"１中住専","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","比叡平","大津京","",11000000,240,"","",115,"1982年","軽量鉄骨造","","","北西","公道",5.9,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","日吉台","比叡山坂本",25,25000000,180,"","",110,"2024年","木造","","","北","公道",6.2,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","日吉台","比叡山坂本","",8000000,170,"","",100,"1980年","木造","","","北","公道",14.5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","螢谷","石山寺",5,12000000,120,"","",100,"1989年","木造","","","西","公道",4.2,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","螢谷","石山",20,22000000,160,"","",115,"2000年","木造","","","","",4,"２中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","南志賀","南滋賀",5,5000000,160,"","",140,"1961年","木造","","","","",3,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","南志賀","南滋賀",10,15000000,140,"","",120,"1984年","木造","","","","",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","南志賀","南滋賀",5,40000000,150,"","",105,"2024年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","25201","滋賀県","大津市","大江","瀬田(滋賀)",25,26000000,130,"","",105,"2010年","木造","","","西","公道",6,"１中住専",60,200,"2024年第4四半期",""
