"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","西川津町","松江","",14000000,240,"","",150,"1999年","軽量鉄骨造","","","南","公道",12,"１種住居",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","東出雲町意宇南","","",40000000,290,"","",120,"2020年","木造","","","北東","公道","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","浜乃木","乃木",10,1500000,210,"","",95,"1965年","木造","","","西","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","国屋町","松江しんじ湖温泉",20,24000000,335,"","",185,"1994年","木造","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","西津田","","",8800000,390,"","",140,"1982年","木造","","","","","","２中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","西津田","松江","",19000000,180,"","",135,"1990年","木造","","","西","公道",4,"２中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","比津町","","",12000000,190,"","",95,"1980年","木造","","","東","公道",6,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","山代町","松江","",13000000,255,"","",145,"1988年","木造","","","北西","公道",4,"１低住専",60,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","国屋町","松江しんじ湖温泉",15,23000000,180,"","",155,"2004年","木造","","","西","公道",8.8,"２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","殿町","松江しんじ湖温泉",25,11000000,115,"","",130,"1989年","木造","","","東","公道",3.4,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","宍道町宍道","宍道","",9000000,385,"","",295,"","木造","","","南東","公道",6.5,"近隣商業",80,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","玉湯町玉造","玉造温泉","30分～60分",19000000,810,"","",220,"1991年","木造","","","西","公道",12,"２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","西津田","","",28000000,285,"","",160,"2012年","木造","","","北","公道","","２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","山代町","","",13000000,220,"","",105,"1986年","木造","","","","","","１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","一の谷町","","",7000000,165,"","",70,"1973年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","古志原","松江","30分～60分",12000000,195,"","",115,"1984年","軽量鉄骨造","","","","","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","古志原","","",11000000,260,"","",185,"1981年","木造","","","西","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","矢田町","","",3500000,120,"","",105,"1981年","木造","","","","","","２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","浜乃木","乃木",15,46000000,490,"","",200,"2020年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","浜乃木","乃木",20,28000000,170,"","",140,"2002年","木造","","","東","公道",6,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","宍道町佐々布","","",13000000,660,"","",225,"1978年","木造","","","","","","１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","東出雲町揖屋","","",1100000,135,"","",95,"1982年","木造","","","南","公道",5,"工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","上乃木","","",18000000,245,"","",130,"1999年","木造","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","東出雲町錦新町","","",13000000,215,"","",130,"2000年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","32201","島根県","松江市","東出雲町錦新町","","",23000000,340,"","",140,"1999年","木造","","","南西","公道","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","32201","島根県","松江市","上乃木","乃木",29,15000000,200,"長方形",11.7,115,"1990年","木造","住宅","住宅","北東","市道",6,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","32201","島根県","松江市","上乃木","乃木",25,6500000,410,"台形",19.6,110,"1989年","木造","住宅","住宅","東","市道",4,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","32201","島根県","松江市","上乃木","乃木",15,44000000,370,"ほぼ長方形",14,320,"1990年","鉄骨造","店舗","事務所","南東","市道",16,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","32201","島根県","松江市","上乃木","乃木",25,4500000,115,"台形",8.8,60,"1976年","木造","住宅","住宅","南西","市道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","32201","島根県","松江市","上乃木","松江",29,7500000,180,"ほぼ長方形","",105,"1962年","木造","住宅","","南","私道",3.1,"２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","32201","島根県","松江市","上乃木","松江","30分～60分",4300000,180,"ほぼ台形",17,105,"1979年","木造","住宅","住宅","北東","市道",7.7,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","32201","島根県","松江市","上乃木","松江",26,17000000,280,"台形",17,175,"1981年","木造","住宅","住宅","南","市道",4,"１種住居",60,200,"2025年第2四半期",""
