"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","上伝馬","","",13000000,60,"","",65,"1985年","木造","","","","","","１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","新伝馬","新静岡","30分～60分",13000000,75,"","",80,"1983年","木造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","建穂","","",16000000,205,"","",120,"","","","","","","","１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","与一","","",33000000,135,"","",110,"2024年","木造","","","東","公道",5.7,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","与一","静岡","",40000000,120,"","",105,"2023年","木造","","","南","",4,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","一番町","新静岡",20,19000000,60,"","",75,"1999年","木造","","","","","","近隣商業",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","大岩宮下町","静岡","30分～60分",44000000,105,"","",105,"2023年","木造","","","北","",6.2,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","北","静岡","",15000000,135,"","",115,"2001年","木造","","","南","公道",8.4,"１中住専",70,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","田町","新静岡","30分～60分",3700000,50,"","",90,"1963年","木造","","","北","公道",5.5,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","千代田","音羽町",20,44000000,215,"","",130,"1995年","軽量鉄骨造","","","南東","公道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","井宮町","","",25000000,165,"","",105,"2002年","木造","","","東","公道",5.5,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","上足洗","新静岡","",29000000,65,"","",100,"2015年","木造","","","北東","公道",4.8,"１中住専",60,192,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","上足洗","日吉町",25,49000000,120,"","",110,"2024年","木造","","","南西","公道",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","上足洗","日吉町",25,50000000,120,"","",110,"2024年","木造","","","南西","公道",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","北安東","静岡","30分～60分",45000000,80,"","",110,"2024年","木造","","","南","公道",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","北安東","静岡","30分～60分",47000000,95,"","",115,"2025年","木造","","","北西","公道",5.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","22101","静岡県","静岡市葵区","瀬名","静岡","",23000000,110,"","",155,"1999年","木造","","","南","公道",4,"２中住専",60,200,"2024年第4四半期",""
