"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","岩曽町","岡本(栃木)","",24000000,195,"","",110,"1996年","木造","","","南西","公道",6,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","上戸祭町","東武宇都宮","30分～60分",14000000,210,"","",100,"1999年","軽量鉄骨造","","","北","公道",6,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","清原台","宇都宮","",27000000,150,"","",105,"2024年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","清原台","ゆいの杜西",5,35000000,145,"","",105,"2025年","木造","","","北","",10,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","鶴田町","東武宇都宮","",29000000,185,"","",100,"2024年","木造","","","西","公道",6,"１低住専",40,60,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","砥上町","鶴田",25,22000000,230,"","",115,"2021年","木造","","","南","公道",6.6,"１低住専",40,60,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","西川田","西川田",20,25000000,240,"","",240,"1997年","鉄骨造","","","東","公道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","西川田町","江曽島",20,14000000,165,"","",115,"1996年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","東町","宇都宮","",33000000,200,"","",110,"2024年","木造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","09201","栃木県","宇都宮市","兵庫塚","西川田","30分～60分",7000000,180,"","",145,"1985年","ＲＣ","","","西","公道",6,"１中住専",60,200,"2024年第4四半期",""
