"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","中前川町","佐古",15,31000000,105,"","",90,"2025年","木造","","","東","",3.9,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","八万町","文化の森",10,23000000,145,"","",105,"2024年","木造","","","西","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","八万町","文化の森",10,24000000,145,"","",105,"2024年","木造","","","北","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","南庄町","鮎喰",15,26000000,130,"","",105,"2024年","木造","","","南","",5.8,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","名東町","鮎喰",25,16000000,100,"","",85,"2024年","木造","","","西","公道",3.6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","名東町","府中(徳島)","30分～60分",21000000,135,"","",105,"2024年","木造","","","北","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","大原町","","",12000000,305,"","",300,"1982年","","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","大原町","","",25000000,205,"","",100,"2024年","木造","","","北","公道",4,"１低住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","大原町","","",25000000,185,"","",145,"2013年","","","","西","公道",5,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","春日","佐古",25,21000000,120,"","",105,"2024年","木造","","","北","公道",3.6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","住吉","","",26000000,130,"","",100,"2024年","木造","","","東","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","南蔵本町","蔵本",15,22000000,175,"","",105,"2024年","木造","","","南","",2.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","沖浜町","二軒屋",10,29000000,165,"","",105,"2024年","木造","","","西","",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","下助任町","徳島",20,3800000,50,"","",60,"1977年","木造","","","北","私道",1.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","西新浜町","文化の森",25,24000000,145,"","",105,"2024年","木造","","","西","公道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","論田町","文化の森","30分～60分",16000000,135,"","",120,"1988年","木造","","","","","","２中住専","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","末広","阿波富田",25,27000000,160,"","",105,"2024年","木造","","","北","公道",4.3,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","末広","阿波富田",25,23000000,150,"","",100,"2024年","木造","","","北","公道",4.1,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","中島田町","蔵本",10,18000000,135,"","",100,"2024年","木造","","","東","公道",5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","中前川町","佐古",15,30000000,105,"","",90,"2025年","木造","","","東","",3.9,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","西須賀町","地蔵橋",15,20000000,150,"","",105,"2024年","木造","","","西","公道",4.2,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","南庄町","鮎喰",15,26000000,145,"","",100,"2025年","木造","","","東","公道",3.4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","名東町","鮎喰",25,15000000,195,"","",150,"1996年","木造","","","西","公道",3.8,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","名東町","","",15000000,200,"","",175,"2004年","木造","","","","公道","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","名東町","鮎喰",25,15000000,100,"","",85,"2024年","木造","","","西","公道",3.6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","上助任町","","",28000000,165,"","",125,"2013年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","末広","阿波富田","30分～60分",28000000,165,"","",105,"2025年","木造","","","南","公道",6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","中島田町","蔵本",10,20000000,145,"","",105,"2024年","木造","","","東","公道",5,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","八万町","二軒屋",20,23000000,135,"","",105,"2024年","木造","","","南","公道",4,"近隣商業",80,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","36201","徳島県","徳島市","八万町","文化の森",10,26000000,140,"","",105,"2025年","木造","","","東","公道",6.9,"１種住居",70,200,"2025年第2四半期",""
