"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","行徳","鳥取","",28000000,195,"","",105,"2024年","木造","","","東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","行徳","鳥取",20,2000000,70,"","",110,"1971年","木造","","","西","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","行徳","鳥取",20,2000000,70,"","",110,"1971年","木造","","","西","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","立川町","鳥取","30分～60分",5000000,115,"","",80,"1982年","木造","","","南東","公道",8,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","若葉台南","東郡家","30分～60分",21000000,375,"","",175,"1999年","木造","","","南西","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","湖山町南","湖山",20,32000000,180,"","",115,"2017年","軽量鉄骨造","","","南","公道",6.5,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","浜坂","","",27000000,170,"","",125,"2008年","軽量鉄骨造","","","南東","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","古海","","",24000000,160,"","",115,"2008年","軽量鉄骨造","","","","","","工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","卯垣","","",3900000,110,"","",70,"1972年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","卯垣","鳥取","",26000000,145,"","",105,"2024年","木造","","","南東","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","秋里","鳥取","",28000000,185,"","",105,"2024年","木造","","","南西","公道",5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","南吉方","鳥取","",25000000,130,"","",110,"2025年","木造","","","南","公道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","吉成南町","鳥取","",30000000,240,"","",115,"2024年","木造","","","","公道",4.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","吉成南町","鳥取","",28000000,170,"","",105,"2024年","木造","","","北西","公道",4.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","吉成南町","","",29000000,370,"","",175,"1989年","軽量鉄骨造","","","西","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","徳吉","鳥取","",26000000,150,"","",110,"2024年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","丸山町","鳥取","30分～60分",9800000,125,"","",80,"1990年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","南安長","鳥取",25,24000000,130,"","",105,"2024年","木造","","","南","公道",6,"１種住居",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","31201","鳥取県","鳥取市","宮長","鳥取","30分～60分",31000000,160,"","",125,"2009年","軽量鉄骨造","","","南東","",6,"工業",60,200,"2024年第4四半期",""
