"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","中","和歌山大学前",10,29000000,190,"","",125,"2006年","木造","","","南","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","西高松","","",3000000,85,"","",80,"","木造","","","北","",12.8,"近隣商業",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","西庄","西ノ庄",20,12000000,80,"","",105,"2004年","木造","","","北","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","西庄","西ノ庄",20,20000000,165,"","",145,"2007年","木造","","","北西","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","西浜","和歌山港","30分～60分",27000000,120,"","",100,"","木造","","","","","","１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","松ケ丘","","",14000000,330,"","",175,"1992年","木造","","","西","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","六十谷","六十谷",25,16000000,145,"","",130,"2004年","木造","","","南","私道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","六十谷","","",3800000,155,"","",90,"1976年","木造","","","西","公道","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","六十谷","","",28000000,500,"","",210,"2009年","木造","","","南","",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","磯の浦","加太(和歌山)",25,2700000,170,"","",70,"1972年","軽量鉄骨造","","","西","公道",4.3,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","磯の浦","磯ノ浦",5,9800000,120,"","",130,"1985年","木造","","","南","公道",2.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","今福","","",2800000,50,"","",60,"1985年","木造","","","西","",3.5,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","植松丁","和歌山市",20,2700000,70,"","",75,"1970年","木造","","","南","公道",6,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","榎原","","",3200000,80,"","",70,"1981年","木造","","","東","私道",7,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","榎原","中松江",10,4300000,135,"","",105,"1988年","軽量鉄骨造","","","北","私道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","榎原","八幡前(和歌山)",10,13000000,310,"","",155,"1984年","軽量鉄骨造","","","西","私道",5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","榎原","","",14000000,310,"","",155,"1984年","軽量鉄骨造","","","西","公道",5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","30201","和歌山県","和歌山市","楠見中","","",25000000,130,"","",100,"2023年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
