"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","飯田","","",20000000,200,"","",120,"1986年","木造","","","南東","",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","長町","羽前千歳",15,26000000,185,"","",100,"2023年","木造","","","東","公道",7,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","若葉町","","",32000000,180,"","",95,"2024年","木造","","","東","",4.2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","小白川町","山形","30分～60分",7500000,210,"","",155,"1977年","木造","","","南東","私道",2.1,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","城南町","山形",10,36000000,135,"","",190,"1988年","鉄骨造","","","東","",4.5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","白山","山形","",28000000,120,"","",105,"2025年","木造","","","東","公道",6,"２低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","江俣","","",19000000,180,"","",120,"1994年","軽量鉄骨造","","","西","私道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","上桜田","山形","",28000000,210,"","",135,"2006年","木造","","","北","公道",6,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","江俣","東金井",20,26000000,150,"","",105,"2016年","木造","","","北","公道",6,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","小立","山形","",24000000,180,"","",100,"2008年","木造","","","","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","北町","","",28000000,190,"","",120,"2017年","木造","","","北西","私道",4,"工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","北町","北山形","",13000000,145,"","",70,"1984年","木造","","","東","公道",6,"工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","緑町","山形","30分～60分",48000000,370,"","",215,"1974年","木造","","","","","","２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","江南","北山形",20,21000000,290,"","",185,"1984年","木造","","","東","公道","","２低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","寿町","","",20000000,300,"","",170,"1984年","木造","","","南","公道",6,"２低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","下条町","北山形",15,14000000,235,"","",150,"1981年","木造","","","","","","２低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","西田","北山形",20,32000000,165,"","",105,"2025年","木造","","","東","公道","","２低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","馬見ケ崎","","",24000000,235,"","",135,"1995年","","","","","","","２低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","松波","","",12000000,180,"","",145,"1986年","軽量鉄骨造","","","","公道","","２中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","松波","山形","",21000000,280,"","",155,"1993年","軽量鉄骨造","","","北","公道",6,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","印役町","","",14000000,135,"","",90,"2007年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","南原町","","",20000000,245,"","",110,"1985年","軽量鉄骨造","","","","","","２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","青田","","",24000000,315,"","",175,"1993年","木造","","","","","","２低住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","高堂","","",24000000,200,"","",115,"1999年","木造","","","","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","鳥居ケ丘","","",23000000,210,"","",100,"2022年","木造","","","西","",4,"２低住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","南栄町","山形","30分～60分",23000000,265,"","",275,"1989年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","五十鈴","北山形","30分～60分",17000000,145,"","",170,"1988年","木造","","","南","",6,"２低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","双月町","","",20000000,215,"","",115,"1990年","木造","","","","公道","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","双月町","","",14000000,245,"","",165,"1989年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","みはらしの丘","山形","",25000000,360,"","",90,"2017年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","06201","山形県","山形市","成沢西","蔵王",20,26000000,240,"","",140,"2001年","木造","","","","","","２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","06201","山形県","山形市","大字青野","羽前千歳","30分～60分",12000000,330,"ほぼ長方形",15.5,130,"1985年","木造","住宅","住宅","南西","市道",6,"調整区域",70,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","06201","山形県","山形市","旭が丘","山形","30分～60分",98000000,680,"不整形",21,175,"2022年","ＲＣ","店舗","工場","西","国道",16,"準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","06201","山形県","山形市","飯田","蔵王","30分～60分",27000000,125,"ほぼ台形",9,90,"2025年","木造","住宅","住宅","南","市道",4,"準工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","06201","山形県","山形市","飯田西","山形","1H～1H30",18000000,240,"長方形",12,160,"1988年","木造","共同住宅","その他","南東","市道",9,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","06201","山形県","山形市","飯塚町","東金井","30分～60分",14000000,520,"不整形",29,135,"2015年","木造","住宅、店舗","その他","南","県道",6.5,"調整区域",70,200,"2024年第4四半期",""
