"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","一の宮住吉","新下関",20,36000000,165,"","",115,"2024年","木造","","","東","公道",6,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","清末鞍馬","小月",15,17000000,530,"","",115,"1966年","木造","","","東","公道",14,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府印内町","","",13000000,105,"","",80,"1980年","木造","","","南西","私道",4,"近隣商業",90,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","前勝谷町","新下関",25,20000000,1585,"","",220,"1990年","木造","","","南西","公道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","綾羅木南町","綾羅木",25,9500000,190,"","",130,"1989年","軽量鉄骨造","","","北西","公道","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","生野町","幡生",15,23000000,220,"","",120,"1980年","木造","","","東","公道",3,"２中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","大学町","幡生",25,19000000,225,"","",95,"1973年","木造","","","北","公道",5.1,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府侍町","","",27000000,375,"","",165,"1988年","軽量鉄骨造","","","南","公道",6,"２低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府豊浦町","長府",25,10000000,155,"","",120,"1988年","木造","","","","","","１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府松小田中町","長府",15,20000000,190,"","",130,"1996年","軽量鉄骨造","","","南","公道",7,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府宮の内町","長府","30分～60分",30000000,190,"","",100,"2020年","木造","","","南","公道",6,"２低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","幡生本町","幡生",15,23000000,215,"","",150,"1980年","木造","","","北東","公道",6,"１低住専",50,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","彦島迫町","下関","30分～60分",28000000,175,"","",55,"2025年","木造","","","","","","２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","彦島江の浦町","下関","",2400000,105,"","",105,"1979年","木造","","","南","公道",2.4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","丸山町","下関",20,6000000,515,"","",90,"1978年","木造","","","西","公道",1.8,"２種住居",40,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","丸山町","下関",25,7500000,85,"","",100,"1986年","木造","","","東","公道",6.5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","大字秋根","新下関",25,36000000,195,"","",100,"2024年","木造","","","東","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","後田町","幡生",25,2400000,195,"","",55,"1960年","木造","","","北","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","稗田中町","綾羅木",10,5500000,160,"","",90,"1977年","木造","","","北西","公道",5.5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","彦島山中町","下関","30分～60分",2800000,275,"","",55,"1965年","木造","","","南東","公道",3.6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","宮田町","関門海峡めかり","30分～60分",2500000,475,"","",105,"1962年","木造","","","北","公道",1.7,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","宮田町","関門海峡めかり","30分～60分",1600000,625,"","",85,"1962年","木造","","","北東","公道",1.9,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","石神町","幡生",25,6800000,185,"","",85,"1987年","木造","","","西","公道",5,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","小月杉迫","小月",15,19000000,180,"","",120,"2006年","木造","","","北","公道",6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","小月杉迫","小月",20,19000000,215,"","",145,"1998年","木造","","","北","公道",6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","川中本町","綾羅木",15,3000000,170,"","",65,"1971年","木造","","","東","私道",4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","古屋町","綾羅木",15,27000000,205,"","",125,"1994年","木造","","","南","公道",5,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","安岡町","安岡",5,25000000,190,"","",120,"2009年","木造","","","西","公道",6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","垢田町","綾羅木","",33000000,175,"","",115,"2025年","木造","","","東","公道",5,"２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","清末鞍馬","小月",15,17000000,155,"","",110,"2006年","木造","","","西","公道",4.5,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","川中本町","綾羅木",15,7400000,175,"","",105,"1976年","木造","","","南","公道",4.1,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","川中本町","新下関",20,14000000,185,"","",125,"1989年","木造","","","北西","公道",5,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","武久町","幡生",15,3500000,105,"","",65,"1972年","木造","","","南東","公道",1.8,"２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","西大坪町","下関",25,24000000,330,"","",145,"1998年","軽量鉄骨造","","","北","",5.7,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","羽山町","幡生",25,16000000,170,"","",100,"1991年","木造","","","","","","１種住居","","","2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","綾羅木南町","綾羅木",10,6200000,165,"","",95,"1971年","木造","","","北東","公道",4,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","生野町","幡生",15,1700000,175,"","",110,"1974年","木造","","","北","公道",4.5,"２中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府珠の浦町","長府","30分～60分",4600000,330,"","",150,"1968年","ＳＲＣ","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","南大坪町","下関",25,3300000,285,"","",90,"1967年","木造","","","南","公道",3.5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","大字田倉","新下関","30分～60分",35000000,215,"","",110,"2021年","木造","","","東","公道",5,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府豊浦町","長府",25,9500000,205,"","",115,"1979年","木造","","","","","","１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府豊浦町","","",2000000,250,"","",90,"1987年","木造","","","","","","１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長崎新町","下関",10,1000000,65,"","",65,"","木造","","","南","私道",1.1,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","綾羅木新町","綾羅木",15,26000000,145,"","",100,"2025年","木造","","","北","",8.9,"１中住専",40,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","彦島西山町","","",13000000,235,"","",140,"1979年","木造","","","東","公道",5,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","安岡駅前","安岡",5,26000000,185,"","",105,"2024年","木造","","","","","","近隣商業",80,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","山の口町","幡生","30分～60分",3300000,45,"","",50,"1988年","木造","","","南東","公道",4,"２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府才川","長府",20,20000000,120,"","",100,"2018年","木造","","","北東","公道",4.5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","丸山町","下関",15,1900000,185,"","",90,"1974年","木造","","","北","公道",2.1,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","吉見本町","吉見",10,1500000,305,"","",100,"1976年","木造","","","北東","公道",2,"近隣商業",80,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","綾羅木本町","綾羅木",20,32000000,175,"","",105,"2022年","木造","","","東","",3.9,"２中住専",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府羽衣町","","",28000000,1175,"","",120,"2004年","木造","","","北東","公道",4,"２低住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府才川","長府",15,28000000,170,"","",95,"2023年","木造","","","南","",5,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","丸山町","下関","",1200000,105,"","",95,"1975年","木造","","","南東","私道",2.7,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","大字秋根","新下関",25,34000000,195,"","",105,"2024年","木造","","","東","公道",9,"１中住専",70,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","後田町","幡生",25,1600000,140,"","",70,"1973年","木造","","","西","公道",1.8,"１低住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","勝谷新町","新下関","",13000000,325,"","",160,"1979年","軽量鉄骨造","","","南東","公道",6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","彦島塩浜町","下関","",1700000,250,"","",80,"1977年","木造","","","西","公道",6,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","彦島福浦町","下関","30分～60分",20000000,200,"","",140,"2002年","軽量鉄骨造","","","北","公道",5.7,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","宮田町","関門海峡めかり","30分～60分",3500000,475,"","",105,"1962年","木造","","","北","公道",1.7,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","勝谷新町","新下関","30分～60分",25000000,150,"","",100,"2018年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府浜浦町","長府","",13000000,245,"","",70,"1976年","木造","","","北西","公道",6,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","後田町","幡生",25,7800000,155,"","",55,"","木造","","","北西","公道",3,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","長府豊城町","長府",20,15000000,205,"","",105,"2003年","木造","","","東","私道",5,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","35201","山口県","下関市","彦島弟子待町","下関","",3300000,190,"","",110,"1976年","木造","","","南東","公道",6,"１中住専","","","2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","赤間町","下関","30分～60分",35000000,330,"台形",17.5,100,"1977年","ＲＣ","住宅","住宅","東","市道",4,"商業",80,400,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","秋根上町","新下関",11,49000000,210,"ほぼ台形",11.5,105,"2025年","木造","住宅","住宅","南東","市道",4.5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","秋根西町","新下関",11,20000000,170,"ほぼ台形",10,85,"1987年","木造","住宅","住宅","北西","市道",6,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","秋根西町","新下関",11,8200000,170,"ほぼ台形",10,85,"1987年","木造","住宅","住宅","北西","市道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","秋根本町","新下関",6,50000000,490,"ほぼ長方形",13.5,150,"","","","その他","南","市道",8,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","秋根南町","新下関",7,14000000,250,"ほぼ長方形",14,170,"1976年","木造","住宅","住宅","南","市道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","大字綾羅木","梶栗郷台地",12,55000000,230,"ほぼ台形",15,130,"2025年","","住宅","住宅","東","市道",6,"調整区域",70,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","綾羅木本町","綾羅木",6,32000000,175,"ほぼ台形",11.5,105,"2022年","木造","住宅","住宅","東","市道",4,"２中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","綾羅木本町","綾羅木",8,34000000,350,"長方形",17,240,"2005年","軽量鉄骨造","共同住宅","住宅","南","市道",4,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","綾羅木本町","綾羅木",3,15000000,440,"不整形",21,160,"2000年","木造","住宅","住宅","西","道路",2.5,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","綾羅木南町","綾羅木",11,2000000,135,"不整形","",105,"1979年","木造","住宅","その他","北","私道",4,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","大字有冨","新下関",21,44000000,230,"不整形",5.5,110,"2024年","木造","住宅","住宅","北","市道",6,"調整区域",70,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","大字有冨","新下関",19,22000000,220,"ほぼ台形",17.5,100,"2015年","木造","住宅","住宅","南西","市道",4.5,"調整区域",70,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","生野町","幡生",16,5400000,310,"長方形",20,140,"1969年","木造","住宅","住宅","南東","市道",8,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","伊倉町","綾羅木",12,18000000,250,"長方形","",120,"1976年","木造","住宅","住宅","西","市道",4.5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","伊倉町","綾羅木",6,36000000,730,"ほぼ台形",22.5,120,"1993年","木造","住宅","その他","北","市道",4,"２中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","35201","山口県","下関市","伊崎町","下関",8,13000000,190,"不整形",13,440,"1980年","ＲＣ","倉庫","住宅","東","国道",23,"商業",80,600,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","35201","山口県","下関市","伊崎町","下関",8,200000000,1300,"ほぼ台形",38,1400,"1968年","ＳＲＣ","その他","店舗","南東","市道",5.5,"商業",80,400,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","石神町","幡生",23,5500000,290,"ほぼ台形","",95,"1976年","木造","住宅","住宅","北","市道",6,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","35201","山口県","下関市","石神町","幡生",25,6800000,180,"台形","",85,"1984年","木造","","住宅","西","市道",6,"１低住専",40,80,"2025年第1四半期",""
