"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","池田","","",23000000,265,"","",100,"2019年","木造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","住吉","","",4500000,200,"","",85,"1973年","木造","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","富士見","","",13000000,240,"","",110,"1989年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","古上条町","国母",20,12000000,235,"","",90,"1978年","木造","","","西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","山宮町","","",16000000,185,"","",100,"2005年","木造","","","西","",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","和田町","","",6000000,240,"","",85,"1975年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","朝気","善光寺",15,26000000,225,"","",120,"2008年","木造","","","南","公道",4.7,"１種住居",60,188,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","朝気","善光寺",25,25000000,150,"","",110,"2024年","木造","","","西","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","朝気","金手",15,11000000,170,"","",135,"1989年","木造","","","北","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","池田","竜王","30分～60分",15000000,130,"","",75,"1980年","木造","","","西","公道",4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","北新","甲府","30分～60分",16000000,1445,"","",190,"1976年","木造","","","","","","２低住専",60,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","国母","甲斐住吉",20,4500000,140,"","",50,"1983年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","里吉","善光寺",20,27000000,230,"","",105,"2024年","木造","","","東","公道",4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","武田","甲府",15,17000000,230,"","",165,"1996年","木造","","","北","公道",3,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","東光寺","金手",10,17000000,235,"","",95,"2008年","木造","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","堀之内町","","",38000000,330,"","",20,"2003年","木造","","","","","","１中住専",40,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","飯田","甲府",25,2000000,165,"","",95,"1973年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","池田","甲府","",24000000,295,"","",155,"1995年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","岩窪町","甲府","",2000000,185,"","",115,"1979年","木造","","","南東","公道",6,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","北新","甲府",25,20000000,305,"","",110,"2003年","木造","","","東","公道",6,"２低住専",60,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","国母","甲府","",26000000,225,"","",90,"2015年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","19201","山梨県","甲府市","里吉","善光寺","",36000000,180,"","",110,"2025年","木造","","","","","","準工業",60,200,"2025年第2四半期",""
