"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","揚羽町","自由ケ丘(愛知)",11,29000000,"３ＬＤＫ",80,"2005年","ＲＣ","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","鹿子町","本山(愛知)",9,43000000,"４ＬＤＫ",100,"2004年","ＲＣ","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","鹿子町","本山(愛知)",11,16000000,"３ＬＤＫ＋Ｓ",90,"1974年","ＲＣ","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","観月町","覚王山",1,12000000,"２ＬＤＫ",60,"1971年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","汁谷町","茶屋ケ坂",12,34000000,"４ＬＤＫ",90,"2009年","ＲＣ","","","近隣商業","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","汁谷町","茶屋ケ坂",14,26000000,"３ＬＤＫ",90,"1999年","ＳＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",6,25000000,"１ＬＤＫ＋Ｓ",90,"1973年","","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",5,65000000,"３ＬＤＫ",95,"2015年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",7,61000000,"３ＬＤＫ",85,"2017年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",9,50000000,"３ＬＤＫ",90,"2011年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",4,59000000,"４ＬＤＫ",100,"2012年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",4,55000000,"３ＬＤＫ",85,"2015年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",6,20000000,"２ＬＤＫ",90,"1973年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",3,42000000,"３ＬＤＫ",80,"2000年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","新池町","東山公園(愛知)",4,50000000,"２ＬＤＫ＋Ｓ",90,"2015年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","振甫町","池下",17,2400000,"１Ｒ",20,"1989年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","23101","愛知県","名古屋市千種区","振甫町","覚王山",15,41000000,"３ＬＤＫ",90,"2014年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
