"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","秋田",11,11000000,"２ＬＤＫ",60,"1986年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","","",21000000,"２ＬＤＫ＋Ｓ",70,"2003年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋城下町","秋田",9,13000000,"３ＬＤＫ",75,"1996年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","山王中園町","秋田","30分～60分",8000000,"４ＬＤＫ",75,"1986年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","山王","","",19000000,"２ＬＤＫ",80,"2004年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","山王","秋田","",2400000,"１Ｒ",20,"1993年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋矢留町","秋田","",6000000,"３ＤＫ",55,"1991年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","秋田",18,19000000,"３ＬＤＫ",80,"2002年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","泉中央","泉外旭川",23,16000000,"３ＬＤＫ",75,"1999年","ＳＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",17,1200000,"１Ｒ",20,"1988年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,12000000,"３ＬＤＫ",65,"1989年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",17,2900000,"１Ｋ",30,"1991年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","秋田",14,28000000,"３ＬＤＫ",80,"2017年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","秋田",13,37000000,"４ＬＤＫ",95,"2017年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","秋田",9,7500000,"１ＬＤＫ",55,"1989年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","秋田",14,38000000,"３ＬＤＫ",90,"2017年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","新屋豊町","羽後牛島","30分～60分",14000000,"３ＬＤＫ",90,"2001年","ＲＣ","","","工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,9400000,"２ＬＤＫ",70,"1989年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",15,7000000,"２ＤＫ＋Ｓ",50,"1989年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",19,3900000,"１Ｋ",30,"1987年","鉄骨造","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","中通","秋田",13,5000000,"１ＬＤＫ＋Ｓ",40,"1986年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","大町","秋田",24,6500000,"３Ｋ",55,"1990年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","大町","秋田",19,16000000,"３ＬＤＫ",80,"2002年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","大町","秋田",22,16000000,"４ＬＤＫ",95,"1998年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","川尻みよし町","羽後牛島","30分～60分",2500000,"２ＬＤＫ",70,"1978年","鉄骨造","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","保戸野中町","秋田",20,24000000,"４ＬＤＫ",105,"2004年","ＳＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","大町","秋田",18,9500000,"２ＬＤＫ",60,"1987年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","広面","秋田","",22000000,"２ＬＤＫ",70,"2009年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","八橋大畑","泉外旭川",18,22000000,"４ＬＤＫ",100,"2007年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","大町","秋田","",17000000,"３ＬＤＫ＋Ｓ",120,"1983年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","保戸野桜町","泉外旭川","30分～60分",19000000,"３ＬＤＫ",75,"2005年","ＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","保戸野通町","秋田",24,18000000,"２ＬＤＫ＋Ｓ",80,"2003年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","千秋中島町","秋田",22,8500000,"３ＬＤＫ",70,"1992年","ＲＣ","","","２中住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","泉南","泉外旭川",15,17000000,"４ＬＤＫ",95,"2003年","ＲＣ","","","２中住専","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",2100000,"１Ｒ",20,"1993年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","泉北","泉外旭川",4,20000000,"３ＬＤＫ",70,"2002年","ＳＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","旭南","秋田",28,4900000,"３Ｋ",55,"1976年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","山王","秋田","",3900000,"２ＤＫ",40,"1986年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",2100000,"１Ｒ",20,"1993年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","05201","秋田県","秋田市","南通築地","秋田",10,9800000,"３ＬＤＫ",70,"1990年","鉄骨造","","","商業","","","2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","泉中央","秋田","30分～60分",21000000,"３ＬＤＫ",65,"2006年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","大町","秋田",19,9500000,"２ＬＤＫ",60,"1987年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","大町","秋田",19,16000000,"４ＬＤＫ",90,"1998年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",2100000,"１Ｒ",20,"1993年","ＳＲＣ","住宅","","商業",80,400,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",2000000,"１Ｒ",20,"1993年","ＳＲＣ","住宅","","商業",80,400,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",7800000,"",55,"1991年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",22000000,"４ＬＤＫ",90,"2002年","ＳＲＣ","住宅","住宅","商業",80,500,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",2300000,"１Ｒ",20,"1993年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第1四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","山王","秋田","30分～60分",16000000,"２ＬＤＫ",55,"1990年","ＳＲＣ","住宅","住宅","商業",80,500,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋城下町","秋田",10,11000000,"３ＬＤＫ",70,"1996年","ＳＲＣ","住宅","住宅","近隣商業",80,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",19,7600000,"２ＤＫ",40,"1991年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","改装済み",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,24000000,"３ＬＤＫ",80,"2008年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",19,5500000,"２ＤＫ",40,"1991年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",15,5200000,"１Ｋ",15,"1988年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,9000000,"３ＬＤＫ",60,"1989年","ＳＲＣ","","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",19,14000000,"２ＬＤＫ",65,"2007年","ＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,8000000,"１Ｒ",15,"1988年","ＳＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","千秋矢留町","秋田",18,10000000,"３ＬＤＫ",65,"1989年","ＳＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","手形","秋田",11,22000000,"３ＬＤＫ",65,"2006年","ＲＣ","住宅","住宅","２中住専",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",14,17000000,"３ＬＤＫ",70,"2001年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","05201","秋田県","秋田市","中通","秋田",13,5000000,"１ＬＤＫ",40,"1986年","ＳＲＣ","住宅","住宅","商業",80,500,"2025年第3四半期","未改装",""
