"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","市場町","本千葉",7,15000000,"２ＬＤＫ",60,"1999年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","鵜の森町","蘇我",13,16000000,"３ＬＤＫ",70,"1996年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","新宿","千葉",10,40000000,"１ＬＤＫ＋Ｓ",55,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","新宿","千葉中央",3,9800000,"２ＤＫ＋Ｓ",45,"1982年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","新宿","千葉中央",2,31000000,"１ＬＤＫ",40,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","千葉寺町","千葉寺",5,25000000,"３ＬＤＫ",85,"2001年","ＳＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","登戸","新千葉",6,22000000,"２ＬＤＫ",60,"1995年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","登戸","西登戸",7,40000000,"３ＬＤＫ",80,"2008年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","登戸","西千葉",8,47000000,"３ＬＤＫ",85,"2008年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","登戸","市役所前(千葉)",6,40000000,"３ＬＤＫ",75,"2013年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","登戸","新千葉",6,6500000,"２ＬＤＫ",60,"1981年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","東千葉","東千葉",12,16000000,"２ＬＤＫ",65,"1989年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","東千葉","東千葉",14,6000000,"１ＬＤＫ",55,"1991年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","東千葉","東千葉",12,17000000,"２ＬＤＫ",70,"1994年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","東千葉","東千葉",10,5000000,"３ＬＤＫ",65,"1979年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","若草","蘇我",9,17000000,"３ＬＤＫ",75,"1989年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","青葉町","千葉寺",15,20000000,"３ＬＤＫ",100,"1994年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","青葉町","千葉寺",18,16000000,"３ＬＤＫ",85,"2003年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","春日","西千葉",5,25000000,"２ＬＤＫ＋Ｓ",65,"2000年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","新町","千葉",5,50000000,"３ＬＤＫ",70,"2015年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央","千葉",10,7100000,"１ＤＫ",30,"1982年","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央","千葉",13,25000000,"３ＤＫ",60,"2001年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央","千葉中央",5,45000000,"３ＬＤＫ",70,"2021年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央","千葉",9,40000000,"１ＬＤＫ＋Ｓ",55,"2023年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央","千葉",9,60000000,"３ＬＤＫ",75,"2023年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央","千葉",12,37000000,"２ＬＤＫ",55,"2021年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央","千葉中央",4,25000000,"１ＬＤＫ",35,"2021年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央港","千葉みなと",11,43000000,"３ＬＤＫ",85,"2012年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央港","千葉みなと",4,34000000,"２ＬＤＫ",65,"2007年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央港","千葉みなと",11,37000000,"３ＬＤＫ",80,"2012年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央港","千葉みなと",10,33000000,"３ＬＤＫ",75,"2012年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","中央港","千葉みなと",3,42000000,"２ＬＤＫ",90,"2007年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","長洲","本千葉",6,4500000,"１Ｒ",20,"1992年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","長洲","本千葉",6,5800000,"１Ｒ",25,"1992年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","都町","千葉","",4000000,"２ＤＫ",50,"1973年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","宮崎町","千葉寺",12,23000000,"２ＬＤＫ",75,"2007年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","祐光","東千葉",7,24000000,"３ＬＤＫ",75,"2001年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","祐光","東千葉",13,15000000,"３ＬＤＫ",70,"1998年","ＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","祐光","東千葉",15,14000000,"３ＬＤＫ",80,"1974年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","祐光","東千葉",3,21000000,"３ＬＤＫ＋Ｓ",75,"1984年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","祐光","","",19000000,"３ＬＤＫ",75,"","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","神明町","本千葉",6,17000000,"２ＤＫ＋Ｓ",60,"1999年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","神明町","千葉",14,49000000,"３ＬＤＫ",90,"2010年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","神明町","本千葉",5,34000000,"４ＬＤＫ",95,"2004年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","神明町","千葉",14,33000000,"３ＬＤＫ",90,"2006年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","浜野町","浜野",8,14000000,"２ＬＤＫ＋Ｓ",60,"1996年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","弁天","千葉",4,33000000,"２ＬＤＫ＋Ｓ",75,"1996年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","本千葉町","千葉中央",2,22000000,"１ＤＫ",40,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","本千葉町","千葉中央",2,41000000,"３ＬＤＫ",70,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","南町","蘇我",3,38000000,"３ＬＤＫ",75,"2008年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","南町","蘇我",6,34000000,"２ＬＤＫ",70,"2011年","ＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","今井","蘇我",4,30000000,"３ＬＤＫ",65,"1997年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","12101","千葉県","千葉市中央区","今井","蘇我",8,15000000,"３ＬＤＫ",70,"1996年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
