"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","18201","福井県","福井市","日光","福大前西福井",16,11000000,"３ＬＤＫ",65,"1992年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","大手","福井(福井)",9,50000000,"３ＬＤＫ＋Ｓ",165,"2011年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","中央","福井(福井)",12,39000000,"２ＬＤＫ",100,"2006年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","西谷","花堂",9,3500000,"４ＤＫ",60,"1990年","ＳＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","町屋","","",6900000,"１ＬＤＫ",45,"","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","経田","八ツ島",18,17000000,"３ＬＤＫ",75,"2000年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","経田","","",17000000,"３ＬＤＫ",75,"2000年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","花堂南","越前花堂",11,6500000,"１Ｒ",40,"1998年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","日之出","福井(福井)",5,41000000,"２ＬＤＫ",75,"2017年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","高柳","越前新保","30分～60分",25000000,"３ＬＤＫ",70,"2011年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","加茂河原","足羽山公園口",27,3800000,"１Ｋ",25,"1991年","ＲＣ","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","志比口","福井口",5,8900000,"１ＬＤＫ",35,"2008年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","成和","","",3500000,"１Ｋ",25,"1993年","ＳＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","長本町","越前開発",1,15000000,"３ＬＤＫ",65,"1998年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","文京","西別院",4,11000000,"４ＬＤＫ",85,"1989年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","文京","西別院",5,24000000,"３ＬＤＫ",75,"2009年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","文京","西別院",5,25000000,"３ＬＤＫ",90,"2009年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","加茂河原","足羽山公園口",29,1900000,"１Ｋ",20,"1991年","ＲＣ","","","近隣商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","志比口","福井口",5,19000000,"３ＬＤＫ",80,"2006年","ＳＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","文京","","",16000000,"４ＬＤＫ",85,"2002年","ＳＲＣ","","","準工業","","","2025年第2四半期","",""
