"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","10201","群馬県","前橋市","住吉町","中央前橋",13,19000000,"３ＬＤＫ",85,"2007年","","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","下小出町","中央前橋","30分～60分",17000000,"２ＬＤＫ",70,"2006年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","表町","前橋",5,29000000,"３ＬＤＫ",95,"2005年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","本町","前橋",16,21000000,"４ＬＤＫ",95,"2006年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","元総社町","新前橋",23,2000000,"１Ｋ",20,"1990年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","元総社町","","",6000000,"３ＬＤＫ",65,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","元総社町","","",6000000,"３ＬＤＫ",60,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","元総社町","新前橋",23,10000000,"３ＬＤＫ",65,"1990年","ＲＣ","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","国領町","中央前橋",25,21000000,"２ＬＤＫ",80,"2013年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","国領町","","",20000000,"３ＬＤＫ",80,"2008年","鉄骨造","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","六供町","前橋",12,27000000,"３ＬＤＫ",80,"2013年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","西片貝町","片貝",6,6300000,"３ＬＤＫ",60,"1992年","ＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","住吉町","中央前橋",7,8200000,"３ＬＤＫ",75,"1991年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","住吉町","前橋",23,14000000,"３ＬＤＫ",85,"2007年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","西片貝町","片貝",7,6800000,"３ＬＤＫ",65,"1992年","ＲＣ","","","","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","西片貝町","片貝",6,4500000,"３ＬＤＫ",75,"1992年","ＲＣ","","","","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大友町","新前橋",18,15000000,"３ＬＤＫ",75,"2003年","ＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","小相木町","新前橋",14,17000000,"２ＬＤＫ",65,"2008年","ＲＣ","","","２中住専","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","古市町","新前橋",9,2700000,"１Ｋ",25,"1992年","ＲＣ","","","工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","三河町","前橋",9,12000000,"３ＬＤＫ",60,"1991年","ＳＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","文京町","前橋",15,27000000,"３ＬＤＫ",80,"2010年","ＲＣ","","","工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","文京町","前橋",15,29000000,"３ＬＤＫ",80,"2010年","ＲＣ","","","工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","文京町","前橋",13,15000000,"３ＬＤＫ",75,"1998年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","文京町","前橋",15,32000000,"４ＬＤＫ",110,"2008年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","文京町","前橋","",24000000,"２ＬＤＫ",80,"2010年","ＲＣ","","","工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","文京町","前橋",12,6300000,"２ＬＤＫ",60,"1991年","ＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","南町","前橋",6,13000000,"３ＬＤＫ",75,"1992年","ＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","表町","前橋",2,45000000,"３ＬＤＫ",80,"2024年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","平和町","","",1200000,"１Ｋ",25,"1989年","","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","元総社町","","",30000000,"３ＬＤＫ",85,"2009年","","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","元総社町","新前橋",23,12000000,"３ＬＤＫ",60,"1990年","ＲＣ","","","１低住専","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","表町","前橋",2,40000000,"２ＬＤＫ",65,"2024年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","表町","前橋",7,18000000,"４ＬＤＫ",85,"2005年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","元総社町","新前橋",9,6500000,"１ＬＤＫ",80,"1985年","鉄骨造","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","表町","前橋",2,43000000,"３ＬＤＫ",80,"2024年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","表町","前橋",4,17000000,"１ＬＤＫ",55,"2009年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","千代田町","前橋",15,27000000,"３ＬＤＫ",90,"2006年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","三俣町","三俣",4,1500000,"２ＤＫ",35,"1978年","鉄骨造","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大手町","中央前橋",17,30000000,"３ＬＤＫ",90,"2012年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大手町","中央前橋",17,24000000,"３ＬＤＫ",75,"2012年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大手町","中央前橋",17,21000000,"２ＬＤＫ",70,"2012年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大手町","前橋",18,19000000,"４ＬＤＫ",85,"2005年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大渡町","新前橋",28,9000000,"２ＤＫ",45,"1990年","ＳＲＣ","","","工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","六供町","前橋",12,25000000,"３ＬＤＫ",80,"2013年","ＲＣ","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大手町","中央前橋",17,21000000,"３ＬＤＫ",75,"2012年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大手町","前橋",15,15000000,"３ＬＤＫ",65,"2005年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","大手町","前橋",18,26000000,"３ＬＤＫ",75,"2012年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","10201","群馬県","前橋市","国領町","中央前橋","",19000000,"１ＬＤＫ",65,"2008年","ＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","不動産取引価格情報","10201","群馬県","前橋市","天川大島町","前橋大島","30分～60分",4900000,"３ＬＤＫ",60,"1996年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","10201","群馬県","前橋市","天川原町","前橋",19,17000000,"３ＬＤＫ",95,"2004年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第3四半期","未改装","調停・競売等"
"中古マンション等","不動産取引価格情報","10201","群馬県","前橋市","天川原町","前橋",19,23000000,"３ＬＤＫ",70,"2004年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第2四半期","改装済み",""
"中古マンション等","不動産取引価格情報","10201","群馬県","前橋市","大手町","前橋",19,21000000,"３ＬＤＫ",70,"2012年","ＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","10201","群馬県","前橋市","大手町","前橋",15,15000000,"３ＬＤＫ",60,"2005年","ＲＣ","","","商業",80,600,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","10201","群馬県","前橋市","大手町","前橋",20,33000000,"３ＬＤＫ",85,"2012年","ＲＣ","","住宅","商業",80,600,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","10201","群馬県","前橋市","大友町","新前橋",13,500000,"１Ｋ",20,"1990年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第3四半期","未改装",""
