"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","渦森台","御影(阪急)","",3500000,"３ＤＫ",55,"1970年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","岡本","岡本(兵庫)",7,14000000,"２ＬＤＫ",50,"1977年","ＲＣ","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","鴨子ケ原","御影(阪急)","",32000000,"４ＬＤＫ＋Ｓ",155,"1984年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","北青木","青木",4,17000000,"２ＬＤＫ",60,"1974年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","北青木","青木",4,41000000,"２ＬＤＫ",95,"1991年","ＲＣ","","","","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","北青木","青木",3,24000000,"３ＬＤＫ",60,"1988年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","甲南町","摂津本山",6,42000000,"３ＬＤＫ",85,"1994年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","甲南町","住吉(ＪＲ・六甲ライナー)",12,63000000,"３ＬＤＫ",95,"2019年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","甲南町","摂津本山",10,32000000,"１ＬＤＫ＋Ｓ",75,"1982年","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","甲南町","摂津本山",10,25000000,"３ＬＤＫ",65,"1997年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","住吉宮町","住吉(ＪＲ・六甲ライナー)",1,68000000,"３ＬＤＫ",75,"2002年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","住吉宮町","住吉(ＪＲ・六甲ライナー)",6,40000000,"３ＬＤＫ",80,"2000年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","深江北町","深江(兵庫)",3,33000000,"１ＬＤＫ",70,"2000年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","深江北町","深江(兵庫)",3,44000000,"３ＬＤＫ",70,"2001年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","御影中町","御影(阪神)",2,74000000,"２ＬＤＫ",70,"2010年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","御影中町","住吉(ＪＲ・六甲ライナー)",9,26000000,"３ＬＤＫ",80,"1977年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","本山中町","甲南山手",10,42000000,"４ＬＤＫ",85,"1987年","ＳＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","本山中町","甲南山手",10,23000000,"３ＬＤＫ",70,"1987年","ＳＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","本山中町","摂津本山",9,46000000,"３ＬＤＫ",75,"1997年","ＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","御影","御影(阪急)",6,55000000,"２ＬＤＫ＋Ｓ",75,"2012年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","御影","御影(阪急)",9,54000000,"３ＬＤＫ",75,"2014年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","御影","御影(阪急)",8,50000000,"３ＬＤＫ",105,"1991年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","御影","御影(阪急)",8,3500000,"１Ｒ",20,"1990年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","御影","御影(阪急)",9,47000000,"３ＬＤＫ",70,"2014年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","魚崎北町","青木",9,48000000,"２ＬＤＫ",85,"2007年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","魚崎北町","魚崎",11,13000000,"１ＬＤＫ",50,"1983年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","魚崎北町","魚崎",9,27000000,"３ＬＤＫ",75,"1997年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","魚崎北町","","",17000000,"２ＬＤＫ",90,"","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","魚崎北町","魚崎",8,25000000,"２ＬＤＫ＋Ｓ",70,"2001年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","魚崎中町","青木",6,48000000,"３ＬＤＫ",90,"2000年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28101","兵庫県","神戸市東灘区","魚崎中町","青木",6,24000000,"４ＤＫ",80,"1984年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
