"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","市場下町","鶴見市場",7,37000000,"３ＬＤＫ",75,"2006年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","市場下町","鶴見市場",7,58000000,"４ＬＤＫ",85,"2008年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","市場下町","鶴見",15,33000000,"３ＬＤＫ",65,"2006年","","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","市場大和町","鶴見市場",3,27000000,"３ＬＤＫ",65,"1986年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","市場大和町","鶴見市場",5,6800000,"１Ｋ",20,"1986年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","潮田町","浅野",13,15000000,"３ＤＫ",55,"1983年","","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手",19,40000000,"３ＬＤＫ",80,"2006年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手",14,49000000,"３ＬＤＫ",80,"2018年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手",14,50000000,"３ＬＤＫ",80,"2018年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手",14,47000000,"３ＬＤＫ",70,"2018年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",8,49000000,"３ＬＤＫ",70,"2012年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手",14,45000000,"３ＬＤＫ",70,"2018年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手",19,40000000,"３ＬＤＫ",85,"2006年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","上の宮","菊名",12,37000000,"２ＬＤＫ",70,"2006年","ＲＣ","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","上の宮","菊名",10,40000000,"３ＬＤＫ",70,"2008年","","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","岸谷","生麦",6,5800000,"１Ｋ",20,"1990年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","汐入町","京急鶴見",17,27000000,"３ＬＤＫ",75,"1999年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",32000000,"３ＬＤＫ",75,"2003年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","下末吉","","",24000000,"３ＬＤＫ",70,"","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,37000000,"３ＬＤＫ",70,"1987年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",22000000,"２ＬＤＫ",90,"1990年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","鶴見","鶴見",8,43000000,"３ＬＤＫ",65,"1999年","ＲＣ","","","２中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","生麦","生麦",5,20000000,"１Ｋ",25,"2016年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","14101","神奈川県","横浜市鶴見区","生麦","生麦",3,35000000,"３ＬＤＫ",60,"2003年","ＲＣ","","","商業","","","2024年第4四半期","",""
