"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","39201","高知県","高知市","鴨部","旭町三丁目",7,25000000,"２ＬＤＫ",75,"2017年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","昭和町","","",18000000,"３ＬＤＫ",80,"1998年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","南川添","","",35000000,"３ＬＤＫ",80,"2023年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","神田","","",29000000,"３ＬＤＫ",80,"2021年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","升形","グランド通",1,9000000,"２ＬＤＫ",60,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","吉田町","","",28000000,"３ＬＤＫ",75,"2014年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","上町","上町二丁目",3,16000000,"３ＬＤＫ",70,"2003年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","桜馬場","枡形",6,28000000,"４ＬＤＫ",85,"2007年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","追手筋","高知",12,32000000,"３ＬＤＫ",65,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","小津町","枡形",10,32000000,"４ＬＤＫ",85,"2015年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","小津町","","",28000000,"３ＬＤＫ",75,"2015年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","北久保","","",20000000,"３ＬＤＫ＋Ｓ",80,"2002年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","北本町","高知",14,10000000,"３ＬＤＫ",70,"1996年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","北本町","高知",14,10000000,"３ＬＤＫ",70,"1996年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","北本町","高知",14,10000000,"３ＬＤＫ",70,"1996年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","北本町","高知",5,15000000,"３ＬＤＫ",65,"1983年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","北本町","高知",14,10000000,"３ＬＤＫ",65,"1989年","ＳＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","北本町","","",31000000,"３ＬＤＫ",85,"2020年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","桟橋通","桟橋通四丁目",5,16000000,"３ＬＤＫ",85,"1997年","ＲＣ","","","準工業","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","39201","高知県","高知市","朝倉西町","","",8600000,"３ＬＤＫ",75,"1991年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","旭町","旭駅前通",3,14000000,"３ＬＤＫ",75,"1986年","ＳＲＣ","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","旭町","旭駅前通",3,17000000,"１ＬＤＫ＋Ｓ",65,"1986年","ＲＣ","","","近隣商業","","","2025年第1四半期","改装済み",""
"中古マンション等","成約価格情報","39201","高知県","高知市","越前町","円行寺口",7,30000000,"３ＬＤＫ",75,"2021年","ＲＣ","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","鴨部","","",8800000,"３ＬＤＫ",75,"1977年","ＳＲＣ","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","城見町","","",18000000,"３ＬＤＫ",70,"1999年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","朝倉横町","","",27000000,"３ＬＤＫ＋Ｓ",85,"2022年","ＲＣ","","","１中住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","越前町","","",25000000,"３ＬＤＫ＋Ｓ",80,"2010年","ＲＣ","","","近隣商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","葛島","県立美術館通",6,9500000,"２ＬＤＫ",60,"1988年","ＳＲＣ","","","１中住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","鴨部","鴨部",11,12000000,"２ＬＤＫ＋Ｓ",70,"1997年","ＲＣ","","","１中住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","鴨部","","",13000000,"２ＬＤＫ",65,"1977年","ＳＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","玉水町","上町五丁目",3,17000000,"３ＬＤＫ",90,"2001年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","本町","堀詰",1,26000000,"３ＬＤＫ",70,"2013年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","葛島","県立美術館通",2,11000000,"２ＬＤＫ",55,"1991年","ＳＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","介良","","",14000000,"２ＬＤＫ",65,"2005年","ＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","39201","高知県","高知市","玉水町","上町五丁目",3,19000000,"３ＬＤＫ",90,"2001年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
