"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","出水","水前寺公園",4,23000000,"３ＬＤＫ",75,"1997年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新大江","水前寺",8,12000000,"２ＬＤＫ",65,"1985年","ＲＣ","","","２種住居","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新大江","水前寺",6,17000000,"４ＬＤＫ",80,"1988年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新大江","水前寺",1,2300000,"１Ｒ",20,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新町","蔚山町",4,27000000,"３ＬＤＫ",85,"2019年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新町","蔚山町",4,20000000,"２ＬＤＫ",70,"2007年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新町","","",15000000,"３ＬＤＫ",120,"1988年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新町","新町(熊本)",3,5800000,"２ＤＫ",50,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","新町","新町(熊本)",4,35000000,"３ＬＤＫ",85,"2021年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","水前寺","水前寺",11,3500000,"３ＬＤＫ",65,"1974年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","水前寺","市立体育館前",15,3000000,"１Ｋ",30,"1991年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","船場町","西辛島町",4,2000000,"１Ｋ",20,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","船場町","","",3500000,"１Ｒ",25,"1991年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","保田窪","東海学園前",9,1800000,"１Ｒ",20,"1988年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","本荘","辛島町",12,3500000,"１Ｒ",20,"1991年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","本山","辛島町",8,31000000,"３ＬＤＫ",65,"2018年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","練兵町","慶徳校前",1,26000000,"３ＬＤＫ",75,"2008年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","練兵町","西辛島町",2,21000000,"３ＬＤＫ",85,"1997年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","世安","田崎橋",14,12000000,"３ＬＤＫ",80,"1990年","ＳＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","上水前寺","","",5500000,"２ＬＤＫ",75,"1974年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","京町","","",29000000,"４ＬＤＫ",100,"2003年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","京町","","",14000000,"３ＬＤＫ",75,"1984年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","九品寺","南熊本",13,34000000,"４ＬＤＫ",105,"2009年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","九品寺","新水前寺",16,11000000,"３ＬＤＫ",70,"1984年","ＳＲＣ","","","商業","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","九品寺","九品寺交差点",8,1200000,"１Ｒ",15,"1991年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","九品寺","九品寺交差点",8,1200000,"１Ｒ",15,"1991年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","黒髪","","",2300000,"１Ｒ",25,"1990年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","呉服町","呉服町(熊本)",4,18000000,"３ＬＤＫ",85,"1997年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","水前寺公園","国府(熊本)",2,33000000,"３ＬＤＫ",75,"2016年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","水前寺公園","国府(熊本)",2,30000000,"３ＬＤＫ",90,"2004年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","水前寺公園","市立体育館前",3,28000000,"３ＬＤＫ＋Ｓ",90,"1998年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","中央街","","",41000000,"１ＬＤＫ＋Ｓ",100,"2014年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","渡鹿","東海学園前",12,32000000,"２ＬＤＫ＋Ｓ",90,"2018年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","薬園町","","",12000000,"３ＬＤＫ",70,"1992年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","内坪井町","","",34000000,"２ＬＤＫ",85,"2011年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","大江","交通局前(熊本)",10,18000000,"３ＬＤＫ",70,"1988年","ＲＣ","","","２種住居","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","43101","熊本県","熊本市中央区","大江","","",2000000,"１Ｒ",20,"1991年","ＲＣ","","","","","","2024年第4四半期","",""
