"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","24201","三重県","津市","栄町","津",4,22000000,"３ＬＤＫ",80,"2004年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","南が丘","南が丘",7,22000000,"３ＬＤＫ",80,"2008年","ＲＣ","","","１低住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","上浜町","津",8,28000000,"３ＬＤＫ＋Ｓ",95,"2002年","ＳＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","桜橋","津",12,14000000,"２ＬＤＫ",70,"2012年","ＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","桜橋","津",12,28000000,"２ＬＤＫ＋Ｓ",100,"2012年","ＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","島崎町","津",12,17000000,"３ＬＤＫ",75,"2009年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","岩田","津新町",15,18000000,"４ＬＤＫ",95,"2003年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","南丸之内","津新町",3,18000000,"２ＬＤＫ",65,"2010年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","久居新町","久居",1,15000000,"３ＬＤＫ",75,"1997年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","久居新町","久居",4,14000000,"３ＬＤＫ",70,"1998年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","藤方","阿漕",29,4000000,"３ＬＤＫ",60,"1992年","ＲＣ","","","工業","","","2024年第4四半期","",""
