"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","15102","新潟県","新潟市東区","紫竹","越後石山","30分～60分",19000000,"３ＬＤＫ",80,"2003年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15102","新潟県","新潟市東区","紫竹","越後石山",27,3200000,"２ＬＤＫ",55,"1974年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15102","新潟県","新潟市東区","下木戸","東新潟","30分～60分",22000000,"４ＬＤＫ",95,"2008年","ＳＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","15102","新潟県","新潟市東区","河渡","新潟","",25000000,"４ＬＤＫ",80,"2008年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","15102","新潟県","新潟市東区","中島","東新潟",1,24000000,"４ＬＤＫ",100,"1998年","ＲＣ","","","１中住専","","","2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","15102","新潟県","新潟市東区","逢谷内","新潟","1H30～2H",11000000,"２ＬＤＫ",65,"","","","","準工業",60,200,"2025年第1四半期","",""
"中古マンション等","不動産取引価格情報","15102","新潟県","新潟市東区","大形本町","大形",23,23000000,"３ＬＤＫ",75,"2008年","ＲＣ","住宅","住宅","工業",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","15102","新潟県","新潟市東区","河渡","新潟","1H～1H30",25000000,"４ＬＤＫ",80,"","","","住宅","準工業",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","15102","新潟県","新潟市東区","河渡","新潟","30分～60分",20000000,"２ＬＤＫ",60,"2008年","ＲＣ","住宅","住宅","準工業",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","15102","新潟県","新潟市東区","紫竹","新潟","30分～60分",4500000,"２ＬＤＫ",55,"1974年","ＲＣ","住宅","住宅","１中住専",60,200,"2025年第1四半期","改装済み",""
"中古マンション等","不動産取引価格情報","15102","新潟県","新潟市東区","紫竹","新潟","30分～60分",3200000,"２ＬＤＫ",45,"1974年","ＲＣ","住宅","住宅","１中住専",60,200,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","15102","新潟県","新潟市東区","南紫竹","新潟","30分～60分",18000000,"２ＬＤＫ",70,"1988年","ＳＲＣ","","住宅","準工業",60,200,"2025年第2四半期","改装済み",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","川端町","新潟",22,11000000,"２ＬＤＫ",65,"1982年","鉄骨造","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","川端町","新潟",23,12000000,"２ＬＤＫ",80,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","川端町","","",9100000,"３ＬＤＫ",75,"1982年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","新和","新潟","",8000000,"３ＬＤＫ",75,"1997年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","天神","新潟",2,44000000,"３ＬＤＫ",90,"2010年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","女池上山","関屋(新潟)","30分～60分",6900000,"３ＬＤＫ",65,"1997年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","関南町","関屋(新潟)",11,6500000,"３ＬＤＫ",75,"1989年","ＳＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","鳥屋野","関屋(新潟)","30分～60分",16000000,"３ＬＤＫ",70,"2000年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","医学町通","白山(新潟)",14,2000000,"１ＬＤＫ",30,"1978年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","上所","","",46000000,"３ＬＤＫ",90,"2020年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","西堀通","","",3000000,"２ＤＫ",55,"1979年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","礎町通","新潟","",1300000,"１ＤＫ",25,"1979年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","礎町通","新潟",24,4000000,"２ＬＤＫ",65,"1970年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","川岸町","白山(新潟)",5,14000000,"２ＬＤＫ",80,"1993年","ＳＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","神道寺","新潟",20,43000000,"４ＬＤＫ",95,"2020年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","幸西","新潟",14,32000000,"２ＬＤＫ＋Ｓ",80,"2008年","ＳＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","幸西","新潟",21,12000000,"２ＬＤＫ",60,"1994年","ＳＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","笹口","新潟",4,2100000,"１Ｋ",20,"1988年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","関新","白山(新潟)",13,3200000,"１Ｒ",25,"1992年","ＳＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","万代","新潟",16,34000000,"２ＬＤＫ",70,"2009年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","万代","新潟",8,48000000,"１ＬＫ＋Ｓ",70,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","万代","新潟",8,46000000,"３ＬＤＫ",75,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","万代","新潟",10,33000000,"４ＬＤＫ",105,"2007年","ＲＣ","","","近隣商業","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","15103","新潟県","新潟市中央区","米山","新潟",9,19000000,"３ＬＤＫ",75,"1999年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
