"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","伊島町","岡山","",16000000,"４ＬＤＫ",90,"1985年","ＲＣ","","","１中住専","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","今村","岡山","",21000000,"３ＬＤＫ",80,"2001年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","大元","大元",13,25000000,"３ＬＤＫ",70,"2007年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","春日町","東中央町",6,2400000,"１Ｋ",25,"1988年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","上中野","大元",15,15000000,"３ＬＤＫ",70,"1996年","ＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","桑田町","岡山",10,13000000,"４ＬＤＫ",80,"1986年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","桑田町","岡山",10,13000000,"４ＬＤＫ",80,"1986年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","清輝橋","清輝橋",5,7800000,"２ＬＤＫ",65,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","問屋町","北長瀬",19,21000000,"３ＬＤＫ",80,"2001年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","中島田町","岡山",19,24000000,"２ＬＤＫ＋Ｓ",80,"1989年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","中島田町","大元",15,27000000,"３ＬＤＫ",80,"2012年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","平野","庭瀬",12,29000000,"３ＬＤＫ",90,"2014年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","奉還町","岡山",4,46000000,"３ＬＤＫ",80,"2023年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","奉還町","岡山",4,46000000,"３ＬＤＫ",80,"2023年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","弓之町","城下(岡山)",6,34000000,"２ＬＤＫ",85,"2012年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","横井上","備前三門","30分～60分",2100000,"１Ｋ",20,"1990年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","青江","岡山","",30000000,"３ＬＤＫ",75,"2022年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","幸町","岡山",10,3100000,"１Ｋ",25,"1982年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","幸町","岡山",10,20000000,"２ＬＤＫ",65,"2008年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","鹿田本町","大元",7,37000000,"３ＬＤＫ",75,"2023年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","下石井","岡山",12,52000000,"３ＬＤＫ",75,"2021年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","下石井","岡山",12,43000000,"１ＬＤＫ",65,"2021年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","下石井","岡山",12,93000000,"３ＬＤＫ",90,"2021年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","下伊福西町","備前三門",3,6000000,"４ＬＤＫ",90,"1973年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","新屋敷町","岡山",19,38000000,"４ＬＤＫ",115,"2005年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","津島西坂","岡山","",16000000,"３ＬＤＫ",70,"1994年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","津島西坂","岡山","",9000000,"３ＬＤＫ＋Ｓ",115,"1974年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","津島西坂","","",5000000,"３ＬＤＫ",75,"1974年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","富田","","",11000000,"３ＬＤＫ",75,"1990年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","中山下","城下(岡山)",3,30000000,"２ＬＤＫ＋Ｓ",75,"2006年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","中山下","田町(岡山)",2,41000000,"４ＬＤＫ＋Ｓ",120,"2008年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","中山下","田町(岡山)",3,3400000,"１Ｒ",25,"1990年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","西古松","大元",5,8500000,"３ＬＤＫ",65,"1984年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","西古松","大元",5,19000000,"３ＬＤＫ",80,"1984年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","西古松","大元",10,43000000,"４ＬＤＫ",85,"2018年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","西古松","大元",7,29000000,"４ＬＤＫ",95,"2004年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","西古松","大元",7,50000000,"４ＬＤＫ",105,"2019年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","庭瀬","庭瀬",6,27000000,"２ＬＤＫ＋Ｓ",85,"2011年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東島田町","岡山",14,6000000,"１Ｒ",30,"1990年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東島田町","岡山",17,15000000,"３ＬＤＫ",75,"1995年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東島田町","岡山",14,25000000,"３ＬＤＫ",90,"1998年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東島田町","岡山",13,4400000,"１Ｋ",30,"1990年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東島田町","岡山",15,19000000,"３ＬＤＫ",75,"1995年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東古松","大元",5,20000000,"３ＬＤＫ",75,"1996年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東古松","大元",11,6500000,"３ＬＤＫ",60,"1974年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","33101","岡山県","岡山市北区","東古松","大元",7,38000000,"４ＬＤＫ",95,"2007年","ＲＣ","","","","","","2024年第4四半期","",""
