"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","永楽温泉町","鳥取",8,26000000,"４ＬＤＫ",100,"2006年","ＲＣ","","","商業","","","2024年第4四半期","改装済み",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","富安","鳥取",12,25000000,"３ＬＤＫ",70,"2018年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","富安","鳥取",11,9800000,"３ＬＤＫ",70,"1996年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","吉方","鳥取",17,4200000,"３ＬＤＫ",60,"1983年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","吉方温泉","鳥取",9,18000000,"３ＬＤＫ",80,"2006年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","瓦町","","",15000000,"１ＬＤＫ",75,"1996年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","永楽温泉町","鳥取",8,25000000,"３ＬＤＫ",75,"2021年","ＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","富安","鳥取",11,30000000,"２ＬＤＫ",90,"2017年","鉄骨造","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","富安","鳥取",11,17000000,"３ＬＤＫ",70,"2002年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","吉方温泉","鳥取",12,22000000,"２ＬＤＫ",70,"2018年","ＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","吉方","鳥取",14,17000000,"２ＬＤＫ＋Ｓ",80,"1996年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","川端","鳥取",12,23000000,"４ＬＫ＋Ｓ",85,"2002年","鉄骨造","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","行徳","鳥取",11,19000000,"３ＬＤＫ",80,"2009年","ＲＣ","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","湖山町西","鳥取大学前",5,1300000,"１Ｒ",30,"1991年","ＳＲＣ","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","富安","鳥取",9,22000000,"３ＬＤＫ",90,"2006年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","元町","鳥取",12,21000000,"３ＬＤＫ",75,"2007年","ＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","元町","鳥取",12,25000000,"３ＬＤＫ",90,"2007年","ＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","幸町","鳥取",6,28000000,"４ＬＤＫ",105,"2008年","ＲＣ","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","幸町","鳥取",6,23000000,"３ＬＤＫ",85,"2008年","ＲＣ","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","栄町","鳥取",9,20000000,"３ＬＤＫ",75,"2002年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","宮長","鳥取","30分～60分",18000000,"３ＬＤＫ",75,"2006年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","31201","鳥取県","鳥取市","宮長","鳥取","30分～60分",28000000,"２ＬＤＫ",70,"2024年","ＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","不動産取引価格情報","31201","鳥取県","鳥取市","青葉町","鳥取",29,14000000,"３ＬＤＫ",70,"2003年","ＲＣ","住宅","住宅","近隣商業",80,200,"2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","31201","鳥取県","鳥取市","永楽温泉町","鳥取",7,27000000,"４ＬＤＫ",95,"","ＲＣ","住宅","","商業",80,400,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","31201","鳥取県","鳥取市","永楽温泉町","鳥取",7,25000000,"３ＬＤＫ",65,"","ＲＣ","住宅","","商業",80,400,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","31201","鳥取県","鳥取市","永楽温泉町","鳥取",8,25000000,"３ＬＤＫ",90,"2006年","ＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","31201","鳥取県","鳥取市","永楽温泉町","鳥取",8,22000000,"３ＬＤＫ",90,"2006年","ＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","",""
