"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","東紺屋町","和歌山",15,8700000,"３ＤＫ",55,"1995年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","黒田","和歌山",5,11000000,"３ＬＤＫ",75,"2003年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","雑賀屋町","和歌山市",13,27000000,"３ＬＤＫ",70,"2016年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","築港","","",3800000,"３ＬＤＫ",60,"1980年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","吹上","和歌山市","",25000000,"３ＬＤＫ＋Ｓ",95,"","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","吉田","和歌山",9,17000000,"３ＬＤＫ",90,"","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","市小路","紀ノ川",6,4900000,"３ＬＤＫ",65,"1987年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","宇須","宮前",20,5000000,"３ＬＤＫ",65,"1985年","ＲＣ","","","工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","狐島","東松江(和歌山)",15,4300000,"３ＬＤＫ",75,"1992年","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","田中町","和歌山",7,22000000,"３ＬＤＫ",80,"2008年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","友田町","和歌山",5,49000000,"２ＬＤＫ",75,"2020年","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","友田町","和歌山",7,17000000,"３ＬＤＫ",65,"2007年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","友田町","和歌山",6,27000000,"２ＬＤＫ",70,"2014年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","友田町","和歌山","",32000000,"２ＬＤＫ",60,"","","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","布施屋","","",2000000,"３ＤＫ",55,"1991年","ＳＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","ふじと台","和歌山大学前",3,29000000,"３ＬＤＫ＋Ｓ",85,"2018年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","ふじと台","和歌山大学前",3,40000000,"３ＬＤＫ",105,"2018年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","中之島","","",28000000,"４ＬＤＫ",90,"2008年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","30201","和歌山県","和歌山市","中之島","和歌山","",22000000,"３ＬＤＫ",65,"","","","","","","","2024年第4四半期","",""
