"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","06201","山形県","山形市","清住町","山形","",18000000,"３ＬＤＫ",75,"2010年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","小白川町","山形","30分～60分",15000000,"４ＬＤＫ",80,"1998年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","桜田東","蔵王","30分～60分",8500000,"３ＬＤＫ",75,"1980年","ＳＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","桜田東","","",15000000,"３ＬＤＫ",70,"1998年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","高堂","山形","30分～60分",22000000,"３ＬＤＫ",80,"2009年","ＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","銅町","","",8500000,"３ＤＫ",55,"1991年","ＳＲＣ","","","１種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","銅町","","",8800000,"３ＤＫ",55,"1991年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","七日町","山形",19,30000000,"３ＬＤＫ",70,"2012年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","八日町","山形",12,27000000,"３ＬＤＫ",80,"2016年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","清住町","山形",20,22000000,"２ＬＤＫ",75,"2010年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","松山","","",17000000,"３ＬＤＫ",65,"2003年","ＲＣ","","","準住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","三日町","山形",15,18000000,"４ＬＤＫ",85,"2000年","ＲＣ","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","馬見ケ崎","","",23000000,"２ＬＤＫ",75,"2005年","ＲＣ","","","準住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","十日町","山形",11,56000000,"３ＬＤＫ",75,"2021年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","十日町","山形",11,52000000,"３ＬＤＫ",85,"2021年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","十日町","山形",10,4200000,"１ＤＫ",30,"1991年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","06201","山形県","山形市","七日町","","",56000000,"４ＬＤＫ",100,"2021年","ＲＣ","","","商業","","","2025年第1四半期","",""
