"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","35201","山口県","下関市","南部町","下関",28,24000000,"３ＬＤＫ",75,"2006年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","秋根南町","新下関",4,7000000,"２ＬＤＫ",60,"1988年","ＳＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","竹崎町","下関",3,38000000,"３ＬＤＫ",105,"2007年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","長府外浦町","","",22000000,"２ＬＤＫ",75,"2014年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","長府三島町","長府","30分～60分",16000000,"３ＬＤＫ",80,"1995年","ＳＲＣ","","","準住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","みもすそ川町","関門海峡めかり",20,22000000,"４ＬＤＫ",100,"2003年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","一の宮住吉","新下関",20,19000000,"４ＬＤＫ",95,"2005年","ＳＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","長府松小田本町","長府",4,13000000,"４ＬＤＫ",80,"1998年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","山の口町","幡生","",29000000,"４ＬＤＫ＋Ｓ",130,"2012年","ＲＣ","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","上新地町","下関",20,6800000,"４ＬＤＫ",75,"1991年","ＳＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","新椋野","","",27000000,"２ＬＤＫ",70,"2020年","ＲＣ","","","１種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","長府紺屋町","長府","30分～60分",22000000,"２ＬＤＫ",65,"2022年","ＲＣ","","","１中住専","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","幡生本町","幡生",4,5800000,"４ＬＤＫ",70,"1992年","ＲＣ","","","１中住専","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","大字石原","新下関",19,15000000,"３ＬＤＫ",75,"2008年","ＳＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","35201","山口県","下関市","山の田南町","幡生",6,21000000,"４ＬＤＫ",95,"2004年","ＲＣ","","","","","","2025年第1四半期","",""
